update,episode,total_steps,train_team_return,td_loss,total_loss,qtot_l2_loss,grad_norm,q_tot_mean,q_tot_std,q_tot_max,target_q_tot_mean,target_q_tot_std,target_q_tot_max,epsilon,eval_team_return,eval_mean_agent_return
1,20,1000,-47.6418239313855,15.90039348602295,15.90614128112793,57.47411346435547,78.32274627685547,0.8416631817817688,7.534302711486816,22.347251892089844,17.24205780029297,5.903025150299072,30.773616790771484,0.97,,
2,21,1010,-8.877629002664309,13.341588020324707,13.348840713500977,72.52991485595703,69.47348022460938,3.068556785583496,7.944424152374268,26.871990203857422,16.74835777282715,6.1074042320251465,32.685394287109375,0.9697,,
3,21,1020,-20.60956897888656,14.882828712463379,14.890830993652344,80.0257339477539,69.42546081542969,3.048757314682007,8.410161018371582,26.099506378173828,17.949445724487305,5.409721851348877,30.525375366210938,0.9694,,
4,21,1030,-30.447806043607844,13.931251525878906,13.938322067260742,70.70292663574219,68.31655883789062,3.4174962043762207,7.682684898376465,23.262727737426758,17.379013061523438,5.800313949584961,32.40909957885742,0.9691,,
5,21,1040,-40.789823294777804,14.564420700073242,14.57266616821289,82.45878601074219,68.7544174194336,3.3415825366973877,8.44349479675293,23.728519439697266,18.032196044921875,5.029720783233643,30.090070724487305,0.9688,,
6,21,1050,-52.647997803765,13.818255424499512,13.82689380645752,86.38623046875,69.02505493164062,4.276365756988525,8.252206802368164,24.40056800842285,17.601892471313477,6.363216400146484,32.57242202758789,0.9685,,
7,22,1060,-8.029510398257145,11.892066955566406,11.899784088134766,77.17501068115234,65.61174774169922,4.571033000946045,7.502044200897217,25.399385452270508,16.365745544433594,5.824156284332275,30.9212589263916,0.9682,,
8,22,1070,-14.629827763658,12.146097183227539,12.154210090637207,81.13237762451172,66.47830200195312,4.516288757324219,7.793299198150635,22.642528533935547,15.898967742919922,6.327871322631836,30.51931381225586,0.9679,,
9,22,1080,-23.999131731998173,12.825725555419922,12.834534645080566,88.08759307861328,70.85855102539062,4.464438438415527,8.255687713623047,28.0816707611084,16.909971237182617,6.407222747802734,32.263153076171875,0.9676,,
10,22,1090,-34.4551814544545,9.816882133483887,9.829482078552246,125.99722290039062,63.277462005615234,7.775750160217285,8.095365524291992,32.77667999267578,17.433704376220703,5.585472583770752,32.342750549316406,0.9673,,
11,22,1100,-45.81025244384426,11.287423133850098,11.298523902893066,111.01115417480469,71.84333038330078,6.861571788787842,7.995622634887695,28.59767723083496,17.96603012084961,6.1524810791015625,32.496742248535156,0.967,,
12,23,1110,-11.205125877295139,9.900496482849121,9.915470123291016,149.7322540283203,65.83262634277344,8.531404495239258,8.771966934204102,32.81237030029297,17.590646743774414,5.253185272216797,32.55778121948242,0.9667,,
13,23,1120,-29.80793347982191,9.630460739135742,9.64736270904541,169.0168914794922,55.26613235473633,9.45021915435791,8.928058624267578,32.01292037963867,17.508726119995117,5.974493026733398,33.46647644042969,0.9664,,
14,23,1130,-52.78121284869018,8.64067268371582,8.657570838928223,168.97689819335938,53.98048782348633,9.603736877441406,8.760431289672852,34.47753143310547,17.118934631347656,5.710184574127197,30.13707733154297,0.9661,,
15,23,1140,-74.4369364880938,8.558101654052734,8.574789047241211,166.87005615234375,56.04912567138672,10.488127708435059,7.541169166564941,33.4902458190918,17.314945220947266,5.804345607757568,30.99968719482422,0.9658,,
16,23,1150,-92.757157669554,8.039889335632324,8.05446720123291,145.77569580078125,65.5817642211914,9.828567504882812,7.012485504150391,28.141277313232422,17.672563552856445,5.354633808135986,32.45237731933594,0.9655,,
