episode,total_steps,adversary_team_return,prey_return,adversary_0_return,adversary_1_return,adversary_2_return,agent_0_return,mean_critic_loss,mean_actor_loss,epsilon,eval_adversary_team_return,eval_prey_return
1,100,90.0,-248.6665374365001,30.0,30.0,30.0,-248.6665374365001,,,1.0,,
2,200,150.0,-142.22272364007938,50.0,50.0,50.0,-142.22272364007938,,,1.0,,
3,300,0.0,-206.41399949640086,0.0,0.0,0.0,-206.41399949640086,,,1.0,,
4,400,0.0,-451.54155966735425,0.0,0.0,0.0,-451.54155966735425,,,1.0,,
5,500,150.0,-99.24151607174123,50.0,50.0,50.0,-99.24151607174123,,,1.0,,
6,600,0.0,-533.8546729174407,0.0,0.0,0.0,-533.8546729174407,,,1.0,,
7,700,0.0,-35.308438177316916,0.0,0.0,0.0,-35.308438177316916,,,1.0,,
8,800,0.0,-632.1996281180734,0.0,0.0,0.0,-632.1996281180734,,,1.0,,
9,900,0.0,-55.19154025577659,0.0,0.0,0.0,-55.19154025577659,,,1.0,,
10,1000,0.0,-11.256188160998688,0.0,0.0,0.0,-11.256188160998688,4.392126053571701,0.004039575345814228,0.99905,18.0,-1022.9890733483586
11,1100,60.0,-492.91597965728977,20.0,20.0,20.0,-492.91597965728977,5.063203647732735,0.05075390753336251,0.99715,,
12,1200,0.0,-210.6901190540218,0.0,0.0,0.0,-210.6901190540218,5.296723872423172,0.06348279968369752,0.99525,,
13,1300,90.0,-38.22444269833154,30.0,30.0,30.0,-38.22444269833154,4.650140687823296,0.08556528016924858,0.99335,,
14,1400,90.0,-30.0,30.0,30.0,30.0,-30.0,3.4204210862517357,0.15789688291260973,0.99145,,
15,1500,0.0,-8.484679977719821,0.0,0.0,0.0,-8.484679977719821,3.5348217077553272,0.2526978742098436,0.98955,,
16,1600,0.0,-38.59979497974119,0.0,0.0,0.0,-38.59979497974119,3.457324355840683,0.3460563772241585,0.98765,,
17,1700,0.0,-13.045650264670739,0.0,0.0,0.0,-13.045650264670739,3.3873139321804047,0.4185389350168407,0.98575,,
18,1800,0.0,0.0,0.0,0.0,0.0,0.0,1.7722391970455647,0.5067342286347412,0.98385,,
19,1900,0.0,-94.76486387684808,0.0,0.0,0.0,-94.76486387684808,2.6050269305706024,0.5437103256117553,0.98195,,
20,2000,0.0,-424.7459046367359,0.0,0.0,0.0,-424.7459046367359,2.301432527601719,0.5686353451455943,0.98005,0.0,-861.3035079311394
21,2100,0.0,-40.055625746719535,0.0,0.0,0.0,-40.055625746719535,2.2207687236368656,0.5936638206476346,0.97815,,
22,2200,0.0,-201.06403577992398,0.0,0.0,0.0,-201.06403577992398,1.8067619428038597,0.5779005438089371,0.97625,,
23,2300,60.0,-56.02222528726747,20.0,20.0,20.0,-56.02222528726747,2.5356816947460175,0.5799981752788881,0.97435,,
24,2400,0.0,-2.168974312736551,0.0,0.0,0.0,-2.168974312736551,1.7224413640797138,0.538698993390426,0.97245,,
25,2500,0.0,-661.8641409955421,0.0,0.0,0.0,-661.8641409955421,1.7468559257686138,0.526489116367884,0.97055,,
26,2600,0.0,-461.3410244240225,0.0,0.0,0.0,-461.3410244240225,2.1082789450883865,0.5129904930363409,0.96865,,
27,2700,120.0,-383.9248697234295,40.0,40.0,40.0,-383.9248697234295,2.9923630952835083,0.5512955174781382,0.96675,,
28,2800,0.0,0.0,0.0,0.0,0.0,0.0,2.9028767868876457,0.5641520586214028,0.96485,,
29,2900,90.0,-40.108259365257176,30.0,30.0,30.0,-40.108259365257176,2.5424085780978203,0.5547239296138287,0.96295,,
30,3000,0.0,-151.84475738075818,0.0,0.0,0.0,-151.84475738075818,2.133136011660099,0.5271526016294956,0.96105,12.0,-858.69675760525
31,3100,0.0,-64.84918303401521,0.0,0.0,0.0,-64.84918303401521,2.587389647960663,0.5471430290490389,0.95915,,
32,3200,0.0,-82.84292805312225,0.0,0.0,0.0,-82.84292805312225,1.8031607419252396,0.5809908444061875,0.95725,,
33,3300,0.0,-169.21723902835606,0.0,0.0,0.0,-169.21723902835606,2.2675469517707825,0.5628815880045295,0.95535,,
34,3400,0.0,-40.70821293163727,0.0,0.0,0.0,-40.70821293163727,2.5333934277296066,0.585932170972228,0.95345,,
35,3500,0.0,-322.1535020808673,0.0,0.0,0.0,-322.1535020808673,2.5000557973980904,0.5930132633075118,0.95155,,
36,3600,60.0,-122.32531669871938,20.0,20.0,20.0,-122.32531669871938,2.0885249078273773,0.60244563780725,0.94965,,
37,3700,0.0,0.0,0.0,0.0,0.0,0.0,1.5119573771953583,0.5986855803057551,0.94775,,
38,3800,120.0,-344.8731748432454,40.0,40.0,40.0,-344.8731748432454,2.069962829351425,0.5258299829438329,0.94585,,
39,3900,0.0,-121.00888637303771,0.0,0.0,0.0,-121.00888637303771,1.5775260850787163,0.5410289578139782,0.94395,,
40,4000,90.0,-30.0,30.0,30.0,30.0,-30.0,1.909060226753354,0.5295530743896961,0.94205,12.0,-948.6665369323412
41,4100,0.0,-43.35989022986031,0.0,0.0,0.0,-43.35989022986031,1.8437897711992264,0.5047329226508737,0.94015,,
42,4200,0.0,-116.45448155019389,0.0,0.0,0.0,-116.45448155019389,1.747034713625908,0.49018438812345266,0.93825,,
43,4300,60.0,-145.52207182757581,20.0,20.0,20.0,-145.52207182757581,0.9616942182183266,0.4486446361988783,0.93635,,
44,4400,90.0,-237.51418542432245,30.0,30.0,30.0,-237.51418542432245,2.0556163489818573,0.5115686543285847,0.93445,,
45,4500,0.0,-841.5731272033227,0.0,0.0,0.0,-841.5731272033227,1.9266098216176033,0.48238981049507856,0.93255,,
