episode,total_steps,adversary_team_return,prey_return,adversary_0_return,adversary_1_return,adversary_2_return,agent_0_return,mean_critic_loss,mean_actor_loss,epsilon,eval_adversary_team_return,eval_prey_return
46,4600,0.0,-557.524922794441,0.0,0.0,0.0,-557.524922794441,1.3627277798950672,0.5035094507038593,0.93065,,
47,4700,60.0,-67.3421113110755,20.0,20.0,20.0,-67.3421113110755,1.1855443604290485,0.5264707868918777,0.92875,,
48,4800,0.0,-104.8546455441239,0.0,0.0,0.0,-104.8546455441239,1.9536003172397614,0.6386802149936557,0.92685,,
49,4900,0.0,-378.9010551224537,0.0,0.0,0.0,-378.9010551224537,2.6982789039611816,0.5826968122273684,0.92495,,
50,5000,0.0,-53.58254030996558,0.0,0.0,0.0,-53.58254030996558,1.2747902870178223,0.5885883923619986,0.92305,0.0,-927.806075226161
51,5100,0.0,-173.0393164047732,0.0,0.0,0.0,-173.0393164047732,1.202721331268549,0.5867689736187458,0.92115,,
52,5200,0.0,-194.93016922694335,0.0,0.0,0.0,-194.93016922694335,0.875787291675806,0.6152258310467005,0.91925,,
53,5300,0.0,-154.3744199682186,0.0,0.0,0.0,-154.3744199682186,1.7848305702209473,0.657569837756455,0.91735,,
54,5400,0.0,-391.2862622571238,0.0,0.0,0.0,-391.2862622571238,0.8669930808246136,0.5930870212614536,0.91545,,
55,5500,0.0,0.0,0.0,0.0,0.0,0.0,0.5933444327674806,0.4890344236046076,0.91355,,
56,5600,0.0,-132.39523030777468,0.0,0.0,0.0,-132.39523030777468,0.8156243972480297,0.6553218178451061,0.91165,,
57,5700,0.0,-240.1203267025074,0.0,0.0,0.0,-240.1203267025074,0.9271012130193412,0.6079097473993897,0.9097500000000001,,
58,5800,0.0,-716.688345809879,0.0,0.0,0.0,-716.688345809879,1.1795570477843285,0.6110849929973483,0.90785,,
59,5900,60.0,-116.37674586477456,20.0,20.0,20.0,-116.37674586477456,0.8721572607755661,0.6202731113880873,0.90595,,
60,6000,0.0,-133.09850583277807,0.0,0.0,0.0,-133.09850583277807,0.7151686432771385,0.5546521730720997,0.90405,0.0,-891.4316442202229
61,6100,120.0,-42.9949269081251,40.0,40.0,40.0,-42.9949269081251,0.6732479892671108,0.6102209445089102,0.90215,,
62,6200,0.0,-147.04458104825528,0.0,0.0,0.0,-147.04458104825528,0.7095212161075324,0.5980942724272609,0.90025,,
63,6300,90.0,-45.67756865388898,30.0,30.0,30.0,-45.67756865388898,0.339710715925321,0.66845539258793,0.89835,,
64,6400,0.0,-1466.6708255455387,0.0,0.0,0.0,-1466.6708255455387,1.4538474045693874,0.6743068993091583,0.89645,,
65,6500,90.0,-244.20787374289264,30.0,30.0,30.0,-244.20787374289264,1.2397938072681427,0.6977289989590645,0.89455,,
66,6600,0.0,-344.5435712297734,0.0,0.0,0.0,-344.5435712297734,1.3094190210103989,0.7362953014671803,0.8926499999999999,,
67,6700,0.0,-529.7636296525077,0.0,0.0,0.0,-529.7636296525077,0.9934377297759056,0.7793727908283472,0.89075,,
68,6800,0.0,-480.89749162031785,0.0,0.0,0.0,-480.89749162031785,1.2982354760169983,0.6967945825308561,0.88885,,
69,6900,0.0,-693.6663406564749,0.0,0.0,0.0,-693.6663406564749,1.0792997889220715,0.7690573967993259,0.88695,,
70,7000,0.0,-12.965766857912842,0.0,0.0,0.0,-12.965766857912842,1.3247242495417595,0.7309086499735713,0.88505,18.0,-874.6842657671472
71,7100,0.0,-124.48779838425925,0.0,0.0,0.0,-124.48779838425925,0.7452425993978977,0.7320837676525116,0.88315,,
72,7200,0.0,-2.8706541494354703,0.0,0.0,0.0,-2.8706541494354703,1.0576015561819077,0.8239605966955423,0.88125,,
73,7300,0.0,-434.54785900831746,0.0,0.0,0.0,-434.54785900831746,1.0966034680604935,0.83095458522439,0.87935,,
74,7400,0.0,-168.0949650842584,0.0,0.0,0.0,-168.0949650842584,0.5842858203686774,0.8088888023048639,0.8774500000000001,,
75,7500,0.0,-813.7836074758231,0.0,0.0,0.0,-813.7836074758231,1.7135921269655228,0.7252308912575245,0.87555,,
76,7600,90.0,-343.30466068554875,30.0,30.0,30.0,-343.30466068554875,1.4515868350863457,0.8575102984905243,0.87365,,
77,7700,60.0,-408.92913614421906,20.0,20.0,20.0,-408.92913614421906,1.4375964254140854,0.8337410911917686,0.87175,,
78,7800,0.0,-132.90748886997443,0.0,0.0,0.0,-132.90748886997443,0.9244835190474987,0.8492356464266777,0.86985,,
79,7900,0.0,-684.1159681228347,0.0,0.0,0.0,-684.1159681228347,1.2335965260863304,0.8419594066217542,0.86795,,
80,8000,90.0,-158.58795265467077,30.0,30.0,30.0,-158.58795265467077,0.6505917683243752,0.7914436450228095,0.86605,12.0,-857.0253357746969
81,8100,120.0,-54.23148166626336,40.0,40.0,40.0,-54.23148166626336,1.5051221400499344,0.8633223865181208,0.86415,,
82,8200,0.0,-64.35661902885967,0.0,0.0,0.0,-64.35661902885967,0.5216390523128211,0.8700808882713318,0.86225,,
83,8300,0.0,-353.0650290623569,0.0,0.0,0.0,-353.0650290623569,1.340424976311624,0.8829760383814573,0.86035,,
84,8400,0.0,-431.7548832191645,0.0,0.0,0.0,-431.7548832191645,1.1413906440138817,0.8140987250953913,0.85845,,
85,8500,0.0,-678.8172619537866,0.0,0.0,0.0,-678.8172619537866,0.8378593660891056,0.8438705280423164,0.85655,,
86,8600,180.0,-608.5257925640382,60.0,60.0,60.0,-608.5257925640382,1.3944294452667236,0.861602921038866,0.85465,,
87,8700,0.0,-48.2960283727888,0.0,0.0,0.0,-48.2960283727888,0.8023740865755826,0.9801248554140329,0.85275,,
88,8800,0.0,-642.5301454682769,0.0,0.0,0.0,-642.5301454682769,1.7051670402288437,0.9225581027567387,0.85085,,
89,8900,0.0,-655.3009934288518,0.0,0.0,0.0,-655.3009934288518,0.9950416721403599,0.9654136430472136,0.84895,,
90,9000,30.0,-547.0595317440956,10.0,10.0,10.0,-547.0595317440956,2.2693646401166916,0.9468669854104519,0.84705,12.0,-833.0180805000234
91,9100,0.0,-127.8301437959696,0.0,0.0,0.0,-127.8301437959696,1.3807078450918198,0.9762898683547974,0.8451500000000001,,
92,9200,90.0,-620.871192516723,30.0,30.0,30.0,-620.871192516723,1.507388398051262,1.0983917955309153,0.84325,,
93,9300,0.0,-626.6207344002602,0.0,0.0,0.0,-626.6207344002602,1.6610950976610184,0.9695847313851118,0.84135,,
94,9400,0.0,-694.870724645317,0.0,0.0,0.0,-694.870724645317,1.0921801514923573,1.047763179987669,0.83945,,
95,9500,0.0,-336.33657570893314,0.0,0.0,0.0,-336.33657570893314,0.6179891247302294,1.0585518535226583,0.83755,,
96,9600,0.0,-365.97650546250776,0.0,0.0,0.0,-365.97650546250776,1.2444452866911888,1.0375735890120268,0.83565,,
97,9700,0.0,-174.5968778228832,0.0,0.0,0.0,-174.5968778228832,0.6756102768704295,1.2449274249374866,0.83375,,
98,9800,0.0,-590.1972265538366,0.0,0.0,0.0,-590.1972265538366,0.7427031225524843,1.0649152379482985,0.83185,,
99,9900,0.0,-698.216663146627,0.0,0.0,0.0,-698.216663146627,1.5177025943994522,1.3158646114170551,0.82995,,
100,10000,30.0,-541.2537181670425,10.0,10.0,10.0,-541.2537181670425,1.5784677043557167,1.1539621409028769,0.82805,0.0,-846.6862456381848
