update,episode,total_steps,train_team_return,td_loss,grad_norm,q_tot_mean,target_q_tot_mean,epsilon,eval_team_return,eval_mean_agent_return
1,4,200,-71.84112645674917,0.7583025097846985,10.246833801269531,-0.24384000897407532,0.9477949142456055,0.94,,
2,5,210,-11.229343561678137,0.5258625745773315,8.170740127563477,0.10019491612911224,1.0009232759475708,0.9369999999999999,,
3,5,220,-22.72508867436242,0.7159786224365234,10.86790657043457,0.5011771321296692,1.5951846837997437,0.9339999999999999,,
4,5,230,-35.26659268214178,0.33117520809173584,6.523878574371338,0.4254158139228821,1.0169881582260132,0.931,,
5,5,240,-44.94266213789322,0.44425082206726074,8.94817066192627,0.7420017719268799,1.4977302551269531,0.9279999999999999,,
6,5,250,-53.857910491038446,0.433553546667099,7.5547285079956055,0.7950567603111267,1.3797497749328613,0.925,,
7,6,260,-9.425919088942623,0.2790534198284149,5.047102928161621,0.7880610227584839,1.216012716293335,0.922,,
8,6,270,-16.91079402765149,0.23500150442123413,3.783283233642578,0.8969855904579163,1.2090651988983154,0.919,,
9,6,280,-25.66675534268492,0.2653655409812927,3.648150682449341,1.1210212707519531,1.3445756435394287,0.916,,
10,6,290,-35.15394841770002,0.19111348688602448,3.761960506439209,1.048792839050293,1.3571858406066895,0.913,,
11,6,300,-46.822451332466756,0.3823077976703644,5.1712117195129395,0.9468281269073486,0.9740918874740601,0.91,,
12,7,310,-11.90282838831776,0.25133711099624634,3.426422357559204,0.9577836394309998,1.2176865339279175,0.907,,
13,7,320,-20.739945727655883,0.1878611296415329,3.2510952949523926,1.5033665895462036,1.5714125633239746,0.904,,
14,7,330,-30.239018230995256,0.16705875098705292,3.653071403503418,1.3631542921066284,1.4383411407470703,0.901,,
15,7,340,-39.68165836280568,0.17168664932250977,3.5646724700927734,1.2651286125183105,1.2990938425064087,0.898,,
16,7,350,-46.02797847807829,0.3417845666408539,4.9476752281188965,1.92964768409729,1.768606185913086,0.895,,
17,8,360,-12.39467056539706,0.28987932205200195,3.258049488067627,1.5188231468200684,1.4323620796203613,0.892,,
18,8,370,-26.641805200464628,0.18750786781311035,3.224654197692871,1.1317495107650757,1.1580415964126587,0.889,,
19,8,380,-40.606259569921484,0.16603772342205048,4.172947406768799,1.8586876392364502,1.8800066709518433,0.886,,
20,8,390,-52.239481636290336,0.1121274083852768,2.95820951461792,1.6201119422912598,1.6336733102798462,0.883,,
21,8,400,-65.30601290856245,0.16736069321632385,3.24625563621521,1.4565339088439941,1.4850722551345825,0.88,,
22,9,410,-17.12023379355788,0.2977868318557739,4.116885662078857,1.892289400100708,1.8129894733428955,0.877,,
23,9,420,-28.726335832534144,0.19214372336864471,2.8149802684783936,1.6128185987472534,1.5460121631622314,0.874,,
