episode,steps,team_return
1,50,-57.35000537580476
2,50,-76.19742350092855
3,50,-36.518162471807905
4,50,-74.21483810303688
5,50,-51.35187906683355
6,50,-66.8884919163961
7,50,-45.56139169181006
8,50,-79.03347552288211
9,50,-78.40958563557984
10,50,-60.26780980189635
11,50,-51.669841363430216
12,50,-55.20042847153039
13,50,-59.821061921836574
14,50,-70.93208780799945
15,50,-41.66541968251981
16,50,-45.192527130276346
17,50,-41.254613656334875
18,50,-37.60708067762772
19,50,-49.96345326789518
20,50,-59.99600310846864
21,50,-48.977891523390916
22,50,-58.86031366046199
23,50,-64.78142973271017
24,50,-61.382941522195416
25,50,-59.746945375396876
26,50,-67.21896418679832
27,50,-55.16426292085761
28,50,-48.86255870571452
29,50,-57.58772108346077
30,50,-68.9284776670238
31,50,-51.894653074818216
32,50,-66.66756196401853
33,50,-39.10962609892055
34,50,-58.74351557789001
35,50,-61.094967490595536
36,50,-71.9462298468609
37,50,-48.86103760474028
38,50,-81.7747831510213
39,50,-56.65942395456624
40,50,-48.72876347040985
41,50,-53.13323111437254
42,50,-57.43620432432196
43,50,-69.76030691490247
44,50,-52.79494053541596
45,50,-69.04700064011524
46,50,-52.45136175861324
47,50,-65.20771144609381
48,50,-85.92751387477438
49,50,-52.25314990244825
50,50,-48.33301261674392
51,50,-45.952079484137116
52,50,-63.47257150666101
53,50,-58.34881878315664
54,50,-38.72184358545678
55,50,-51.55370989669521
56,50,-60.43778501588445
57,50,-23.903036062889267
58,50,-79.55622267832177
59,50,-53.12539343099069
60,50,-60.42705100630593
61,50,-34.60565238032971
62,50,-36.164443705227676
63,50,-65.3919027245013
64,50,-52.23568998452872
65,50,-52.91277324491608
66,50,-51.800345977628616
67,50,-68.61639362957096
68,50,-68.58519121681393
69,50,-58.60471266230863
70,50,-56.695307142497995
71,50,-68.95907915317117
72,50,-69.97314000957589
73,50,-53.84808956710283
74,50,-63.42962106465178
75,50,-46.08694243892171
76,50,-47.12200778319088
77,50,-45.89985186390124
78,50,-53.64099051487958
79,50,-44.58183454222474
80,50,-25.121819801240242
