episode,steps,team_return
1,100,-103.50664582687924
2,100,-84.31998046825352
3,100,-91.50737031007972
4,100,-97.19909767504198
5,100,-124.83778595123512
6,100,-113.37441820657882
7,100,-103.43080373691808
8,100,-183.72086615520143
9,100,-143.63263188926814
10,100,-104.9051190820971
11,100,-159.6196560360674
12,100,-137.5816302493519
13,100,-135.9540862689225
14,100,-164.21195842344704
15,100,-100.41940324336964
16,100,-120.2535127210959
17,100,-121.78482162198867
18,100,-98.1853217916033
19,100,-99.24104725354529
20,100,-155.0491264960554
21,100,-108.76864313066557
22,100,-122.33053250672259
23,100,-118.40882163884807
24,100,-140.88026776185146
25,100,-113.74098941189894
26,100,-135.1288536848699
27,100,-124.75133551042396
28,100,-179.4598474631061
29,100,-199.8516963162685
30,100,-220.56459390412627
31,100,-156.03822957560814
32,100,-96.06034261382906
33,100,-102.61681885000134
34,100,-214.37032974192365
35,100,-173.07537644080145
36,100,-161.65496137868217
37,100,-91.74423803453378
38,100,-171.5388142868112
39,100,-182.03447206103678
40,100,-79.62240183955248
41,100,-122.99729665929686
42,100,-94.40802887359622
43,100,-198.43833851090858
44,100,-112.14323184502696
45,100,-273.5783830212059
46,100,-73.67759424547599
47,100,-112.12100936534061
48,100,-179.42290988846494
49,100,-151.6246723183267
50,100,-125.55583924864169
51,100,-101.83609987769
52,100,-132.72408336034763
53,100,-131.5307474188042
54,100,-93.0766282271984
55,100,-154.75203954587482
56,100,-90.20047570148988
57,100,-105.22713609287177
58,100,-115.7653263797291
59,100,-133.5333298195646
60,100,-97.00499026353619
61,100,-145.93607203473016
62,100,-89.91245418934233
63,100,-156.4511767717228
64,100,-184.22802659179095
65,100,-127.16342149315136
66,100,-253.6189891878641
67,100,-107.98896686538971
68,100,-117.49785453578097
69,100,-114.13310168419159
70,100,-111.8798509931827
71,100,-129.86051434829608
72,100,-158.3197396119731
73,100,-112.65236213586189
74,100,-134.6282515459086
75,100,-104.65936041546519
76,100,-295.3854994220051
77,100,-112.8575227390829
78,100,-197.93755397777576
79,100,-85.76108312259127
80,100,-124.45116314122265
81,100,-129.21553111956266
82,100,-91.99263257101474
83,100,-142.55217038615788
84,100,-78.79387364866533
85,100,-170.73774347414056
86,100,-215.2774204198413
87,100,-118.79695578731514
88,100,-106.53995090024841
89,100,-121.95050397841823
90,100,-125.69290756988046
91,100,-124.68445949909747
92,100,-129.11679809477002
93,100,-101.80146055124814
94,100,-104.02901182189642
95,100,-136.76161894713033
96,100,-243.5176696221105
97,100,-130.30735367763725
98,100,-114.9515085602847
99,100,-112.95748480195249
100,100,-92.69252965455024
