update,episode,total_steps,train_team_return,td_loss,total_loss,grad_norm,q_tot_mean,q_tot_std,q_tot_max,target_q_tot_mean,target_q_tot_std,target_q_tot_max,epsilon,action_entropy_mean,used_action_count_min,max_action_ratio_max,top2_action_ratio_max,eval_team_return,eval_mean_agent_return
1,8,400,-49.51415105535142,0.14267060160636902,0.14267060160636902,1.2625728845596313,0.029285106658935547,0.2636130452156067,0.7028450965881348,0.5700300979614258,0.11799723654985428,0.852521538734436,0.976,,,,,,
2,9,450,-57.92160392457794,0.11476925760507584,0.11476925760507584,1.0978890657424927,0.05721802711486816,0.25176966190338135,0.7951327562332153,0.5506884002685547,0.10570620745420456,0.8303822875022888,0.973,,,,,,
3,10,500,-72.02348892191172,0.09867262095212936,0.09867262095212936,0.9919315576553345,0.07731453895568847,0.24630439281463623,0.6435370445251465,0.5302468490600586,0.09907522052526474,0.7497678995132446,0.97,,,,,,
4,11,550,-60.22321536351245,0.10460586845874786,0.10460586845874786,1.0668052434921265,0.10164970397949219,0.24822039902210236,0.8174127340316772,0.5848212432861328,0.09131191670894623,0.8306660056114197,0.967,,,,,,
5,12,600,-30.12571404570864,0.10060594230890274,0.10060594230890274,0.994053840637207,0.09512303352355957,0.23901312053203583,0.7429472208023071,0.5492763519287109,0.11451710760593414,0.8529574275016785,0.964,,,,,,
6,13,650,-37.989895624204856,0.10980918258428574,0.10980918258428574,1.0660799741744995,0.11672623634338379,0.25758036971092224,0.8378604650497437,0.5878518676757812,0.12257871776819229,0.8531746864318848,0.961,,,,,,
7,14,700,-44.37365670341693,0.10459095984697342,0.10459095984697342,1.0036909580230713,0.11496600151062011,0.25356781482696533,0.8399780988693237,0.5703177261352539,0.10838399082422256,0.8027055263519287,0.958,,,,,,
8,15,750,-88.43317782667079,0.0983119085431099,0.0983119085431099,0.9802068471908569,0.1377992820739746,0.24937279522418976,0.7714483141899109,0.5853661727905274,0.10376596450805664,0.853733479976654,0.955,,,,,,
9,16,800,-50.520092744126515,0.0950060561299324,0.0950060561299324,0.9899758100509644,0.1545395851135254,0.24486631155014038,0.8656757473945618,0.6006664657592773,0.09691479057073593,0.8540741205215454,0.952,,,,,,
10,17,850,-36.90293144363904,0.0896303728222847,0.0896303728222847,0.9470786452293396,0.1537076473236084,0.24478645622730255,0.8743467330932617,0.58396240234375,0.09785880148410797,0.8327507972717285,0.949,,,,,,
11,18,900,-52.02628290480784,0.07270649820566177,0.07270649820566177,0.8210297226905823,0.1740977668762207,0.21919433772563934,0.6942305564880371,0.5626426696777344,0.10974769294261932,0.8561316728591919,0.946,,,,,,
12,19,950,-67.34961951432233,0.09380514174699783,0.09380514174699783,0.9919220805168152,0.2047572135925293,0.25706228613853455,0.8918976187705994,0.6371084213256836,0.106424979865551,0.8553295135498047,0.943,,,,,,
13,20,1000,-62.13463753535984,0.0898623839020729,0.0898623839020729,0.9073488712310791,0.21708450317382813,0.2643164098262787,0.8874372839927673,0.616632080078125,0.09600047022104263,0.8057868480682373,0.94,,,,,,
14,21,1050,-71.68634066751925,0.06507556140422821,0.06507556140422821,0.7706394791603088,0.21159605026245118,0.22644369304180145,0.7513909339904785,0.5737993240356445,0.09996479004621506,0.806257426738739,0.9369999999999999,,,,,,
