episode,total_steps,adversary_team_return,prey_return,adversary_0_return,adversary_1_return,adversary_2_return,agent_0_return,mean_critic_loss,mean_actor_loss,epsilon,eval_self_play_adversary_return,eval_self_play_prey_return,eval_adv_vs_random_prey_adversary_return,eval_adv_vs_random_prey_prey_return,eval_random_adv_vs_prey_adversary_return,eval_random_adv_vs_prey_prey_return
19,1900,0.0,-245.95708422566662,0.0,0.0,0.0,-245.95708422566662,2.2438120134174824,0.5740266937064007,0.9097500000000001,,,,,,
20,2000,0.0,-72.26169532557087,0.0,0.0,0.0,-72.26169532557087,2.491230547428131,0.614694923046045,0.90025,6.0,-862.2756695400925,21.0,-206.94999890695885,0.0,-823.4760963200467
21,2100,0.0,-265.9740224499289,0.0,0.0,0.0,-265.9740224499289,2.6650927364826202,0.6336368734482676,0.89075,,,,,,
22,2200,0.0,-596.6434587780458,0.0,0.0,0.0,-596.6434587780458,2.3073334768414497,0.6049379333853722,0.88125,,,,,,
23,2300,60.0,-20.0,20.0,20.0,20.0,-20.0,2.448424883186817,0.6023111850954592,0.87175,,,,,,
24,2400,90.0,-68.33364653198436,30.0,30.0,30.0,-68.33364653198436,1.6359005011618137,0.6046720943413675,0.86225,,,,,,
25,2500,0.0,-265.263548604861,0.0,0.0,0.0,-265.263548604861,1.911708579864353,0.629639367107302,0.85275,,,,,,
26,2600,0.0,-878.6408501365653,0.0,0.0,0.0,-878.6408501365653,2.229999862611294,0.6559857196989469,0.84325,,,,,,
27,2700,0.0,-39.62076337082835,0.0,0.0,0.0,-39.62076337082835,1.735246354714036,0.6934435411822051,0.83375,,,,,,
28,2800,60.0,-766.0488383249894,20.0,20.0,20.0,-766.0488383249894,2.197545800358057,0.779907951655332,0.82425,,,,,,
29,2900,0.0,-789.8405550816151,0.0,0.0,0.0,-789.8405550816151,2.851910610217601,0.7373706819489598,0.81475,,,,,,
30,3000,0.0,-868.0102326260509,0.0,0.0,0.0,-868.0102326260509,2.2544514685869217,0.7926245797425508,0.80525,,,,,,
31,3100,0.0,-84.7191070513094,0.0,0.0,0.0,-84.7191070513094,1.780536413192749,0.8357287901453674,0.79575,,,,,,
32,3200,0.0,-415.9923790654093,0.0,0.0,0.0,-415.9923790654093,1.778268314898014,0.9331335296155885,0.78625,,,,,,
33,3300,0.0,-850.9702260092072,0.0,0.0,0.0,-850.9702260092072,2.013872593641281,0.9794519925490022,0.77675,,,,,,
34,3400,0.0,-229.63610814996494,0.0,0.0,0.0,-229.63610814996494,1.59204903524369,0.8764140824787319,0.76725,,,,,,
35,3500,0.0,-629.3745095516783,0.0,0.0,0.0,-629.3745095516783,1.7626035809516907,0.9150758341420442,0.75775,,,,,,
36,3600,0.0,-97.0311249242241,0.0,0.0,0.0,-97.0311249242241,2.1882538497447968,0.8977289325557649,0.7482500000000001,,,,,,
37,3700,90.0,-107.851096427847,30.0,30.0,30.0,-107.851096427847,1.7184694856405258,0.8653035744209774,0.73875,,,,,,
38,3800,90.0,-810.8647429478101,30.0,30.0,30.0,-810.8647429478101,1.8741963654756546,0.9279988302150741,0.72925,,,,,,
39,3900,0.0,-741.8544300831322,0.0,0.0,0.0,-741.8544300831322,1.5225763134658337,0.8536791261285543,0.71975,,,,,,
40,4000,0.0,-36.008357288833146,0.0,0.0,0.0,-36.008357288833146,2.3155758678913116,0.8658723956905305,0.71025,9.0,-902.9190232835781,18.0,-217.92082715799793,6.0,-818.3651238977781
41,4100,0.0,-610.0884033206506,0.0,0.0,0.0,-610.0884033206506,1.8460415042936802,0.9864005188574083,0.70075,,,,,,
42,4200,150.0,-65.57784186513774,50.0,50.0,50.0,-65.57784186513774,2.145431101322174,0.9776872885413468,0.69125,,,,,,
43,4300,0.0,-735.2379941331841,0.0,0.0,0.0,-735.2379941331841,2.110761597752571,0.9531607730314136,0.6817500000000001,,,,,,
44,4400,0.0,-364.1240499761593,0.0,0.0,0.0,-364.1240499761593,2.4583467543125153,0.8859388502314687,0.67225,,,,,,
45,4500,0.0,-804.7665581444367,0.0,0.0,0.0,-804.7665581444367,1.5172623097896576,0.8491206048056483,0.66275,,,,,,
46,4600,0.0,-926.1342161722429,0.0,0.0,0.0,-926.1342161722429,2.687625080347061,0.8307058881036937,0.65325,,,,,,
47,4700,0.0,-629.4504283595771,0.0,0.0,0.0,-629.4504283595771,2.1365892067551613,0.8531432738527656,0.64375,,,,,,
48,4800,30.0,-1219.868497293321,10.0,10.0,10.0,-1219.868497293321,2.2420112788677216,1.0714727458544075,0.63425,,,,,,
49,4900,0.0,-891.414046010847,0.0,0.0,0.0,-891.414046010847,2.2826985605061054,1.144775831606239,0.62475,,,,,,
50,5000,0.0,-660.295540580898,0.0,0.0,0.0,-660.295540580898,1.5494534559547901,1.1476459335535765,0.6152500000000001,,,,,,
51,5100,60.0,-705.7396196445586,20.0,20.0,20.0,-705.7396196445586,1.1366969114169478,1.354931393667357,0.60575,,,,,,
52,5200,0.0,-364.6228428590034,0.0,0.0,0.0,-364.6228428590034,1.6248255483806133,1.3347409323905595,0.59625,,,,,,
53,5300,0.0,-662.2731506181763,0.0,0.0,0.0,-662.2731506181763,1.5429147749673575,1.3600418451242149,0.58675,,,,,,
54,5400,90.0,-858.2993961349579,30.0,30.0,30.0,-858.2993961349579,1.6701719670090824,1.253912161104381,0.57725,,,,,,
55,5500,0.0,-602.0434723215127,0.0,0.0,0.0,-602.0434723215127,1.7770743034780025,1.2897253374685533,0.56775,,,,,,
56,5600,0.0,-678.5561869209378,0.0,0.0,0.0,-678.5561869209378,2.177840866148472,1.3264846885576844,0.55825,,,,,,
57,5700,90.0,-750.026350178762,30.0,30.0,30.0,-750.026350178762,1.3929709866642952,1.3618888980709016,0.5487500000000001,,,,,,
58,5800,0.0,-987.0761177640305,0.0,0.0,0.0,-987.0761177640305,2.519059658050537,1.4646652243100107,0.53925,,,,,,
59,5900,0.0,-512.7596526696809,0.0,0.0,0.0,-512.7596526696809,1.958793118596077,1.5170207945629954,0.5297499999999999,,,,,,
60,6000,0.0,-788.038058515451,0.0,0.0,0.0,-788.038058515451,2.613348610699177,1.467416651546955,0.5202500000000001,6.0,-819.2471770303503,9.0,-238.46298546117018,9.0,-905.0635797440702
61,6100,0.0,-973.1666833665656,0.0,0.0,0.0,-973.1666833665656,1.8711137361824512,1.6227197600528598,0.51075,,,,,,
62,6200,90.0,-987.7592546629344,30.0,30.0,30.0,-987.7592546629344,1.3644255832768977,1.4579100836999714,0.50125,,,,,,
63,6300,0.0,-916.5307205168923,0.0,0.0,0.0,-916.5307205168923,2.039020512253046,1.5450453427620232,0.49175,,,,,,
64,6400,0.0,-1224.2547422147868,0.0,0.0,0.0,-1224.2547422147868,1.9552954826503992,1.424418468028307,0.48224999999999996,,,,,,
65,6500,60.0,-1284.7637666108121,20.0,20.0,20.0,-1284.7637666108121,2.2312729880213737,1.801604657433927,0.47275,,,,,,
66,6600,0.0,-753.9947209116573,0.0,0.0,0.0,-753.9947209116573,2.7389297485351562,1.8156105326488614,0.46325000000000005,,,,,,
67,6700,0.0,-1071.04673271983,0.0,0.0,0.0,-1071.04673271983,1.8213304281234741,1.7619920913130045,0.4537500000000001,,,,,,
68,6800,90.0,-749.9837575928286,30.0,30.0,30.0,-749.9837575928286,1.9158116392791271,1.6790756918489933,0.44425000000000003,,,,,,
69,6900,0.0,-797.313904862358,0.0,0.0,0.0,-797.313904862358,2.6722085997462273,1.7477315682917833,0.4347500000000001,,,,,,
70,7000,0.0,-720.0451684947061,0.0,0.0,0.0,-720.0451684947061,2.607861079275608,1.5895881550386548,0.42525,,,,,,
71,7100,0.0,-690.3242135266329,0.0,0.0,0.0,-690.3242135266329,2.259172473102808,1.7871568705886602,0.41575000000000006,,,,,,
72,7200,0.0,-841.9661575797421,0.0,0.0,0.0,-841.9661575797421,2.424456410109997,1.9721032655797899,0.40625,,,,,,
73,7300,0.0,-953.2061366850722,0.0,0.0,0.0,-953.2061366850722,2.893603801727295,1.9850330259650946,0.39675000000000005,,,,,,
74,7400,0.0,-886.8249932696236,0.0,0.0,0.0,-886.8249932696236,2.225597341544926,2.007929600775242,0.38725,,,,,,
75,7500,0.0,-964.4514174397884,0.0,0.0,0.0,-964.4514174397884,2.790695372968912,2.2451497241854668,0.37775000000000003,,,,,,
76,7600,30.0,-970.7878895790785,10.0,10.0,10.0,-970.7878895790785,2.3522892547771335,2.061318226158619,0.36824999999999997,,,,,,
77,7700,0.0,-587.0248102232872,0.0,0.0,0.0,-587.0248102232872,2.939692269312218,1.9228800972923636,0.35875,,,,,,
78,7800,0.0,-823.9197229614515,0.0,0.0,0.0,-823.9197229614515,2.351628176867962,1.9980208985507488,0.34924999999999995,,,,,,
79,7900,0.0,-828.9906523244508,0.0,0.0,0.0,-828.9906523244508,2.4674830557778478,2.0191585700958967,0.3397500000000001,,,,,,
80,8000,30.0,-734.8604623308324,10.0,10.0,10.0,-734.8604623308324,2.207682356238365,2.2722314530983567,0.33025000000000004,12.0,-878.6702622174049,9.0,-240.174324307708,21.0,-904.1476585167526
81,8100,180.0,-838.1964083091708,60.0,60.0,60.0,-838.1964083091708,2.474546290934086,2.3988430371973664,0.3207500000000001,,,,,,
82,8200,0.0,-764.4606461674548,0.0,0.0,0.0,-764.4606461674548,2.459560304880142,2.3194494731724262,0.31125,,,,,,
83,8300,0.0,-538.2168077546482,0.0,0.0,0.0,-538.2168077546482,2.092790424823761,2.4219117942266166,0.3017500000000001,,,,,,
84,8400,0.0,-792.4622994393777,0.0,0.0,0.0,-792.4622994393777,2.257528949761763,2.253650140017271,0.29225,,,,,,
85,8500,0.0,-810.3256599874633,0.0,0.0,0.0,-810.3256599874633,2.658767618238926,2.254764711484313,0.28275000000000006,,,,,,
86,8600,0.0,-760.479110902199,0.0,0.0,0.0,-760.479110902199,2.54838415235281,2.414192837662995,0.27325,,,,,,
87,8700,0.0,-769.5860826913549,0.0,0.0,0.0,-769.5860826913549,2.954579407116398,2.524794105440378,0.26375000000000004,,,,,,
88,8800,0.0,-753.2548442356472,0.0,0.0,0.0,-753.2548442356472,2.097485587466508,2.5806291978806257,0.25425,,,,,,
89,8900,0.0,-900.9193610523985,0.0,0.0,0.0,-900.9193610523985,2.813650704920292,2.6008529756218195,0.24475000000000002,,,,,,
90,9000,30.0,-860.5398884566985,10.0,10.0,10.0,-860.5398884566985,2.5432882960885763,2.804763496853411,0.23524999999999996,,,,,,
91,9100,0.0,-815.1274731085762,0.0,0.0,0.0,-815.1274731085762,2.542714484035969,2.57482921727933,0.22575000000000012,,,,,,
92,9200,0.0,-930.9250119925499,0.0,0.0,0.0,-930.9250119925499,2.5808019042015076,2.4234564090147614,0.21625000000000005,,,,,,
93,9300,90.0,-671.388440463985,30.0,30.0,30.0,-671.388440463985,2.7429045885801315,2.5101005751639605,0.2067500000000001,,,,,,
94,9400,0.0,-904.5477012366936,0.0,0.0,0.0,-904.5477012366936,3.4984958842396736,2.6140189403668046,0.19725000000000004,,,,,,
95,9500,0.0,-1133.0593212459314,0.0,0.0,0.0,-1133.0593212459314,2.454565029591322,2.8128619268536568,0.18775000000000008,,,,,,
96,9600,0.0,-661.7533221608551,0.0,0.0,0.0,-661.7533221608551,4.444234400987625,2.993066441267729,0.17825000000000002,,,,,,
97,9700,0.0,-922.3567157467666,0.0,0.0,0.0,-922.3567157467666,2.3127726204693317,2.7455776231363416,0.16875000000000007,,,,,,
98,9800,60.0,-744.9180311772177,20.0,20.0,20.0,-744.9180311772177,2.6648939326405525,2.728427218273282,0.15925,,,,,,
99,9900,0.0,-914.6070666724528,0.0,0.0,0.0,-914.6070666724528,3.7132595628499985,2.5664214715361595,0.14975000000000005,,,,,,
100,10000,30.0,-872.5199309828681,10.0,10.0,10.0,-872.5199309828681,2.576641660183668,2.727559038437903,0.14024999999999999,3.0,-856.1346099732889,15.0,-238.4534874465484,18.0,-866.392584441987
101,10100,0.0,-874.7699739782146,0.0,0.0,0.0,-874.7699739782146,2.999955341219902,3.1429548643063754,0.13075000000000003,,,,,,
102,10200,0.0,-852.8959681613841,0.0,0.0,0.0,-852.8959681613841,3.2722179889678955,2.805939817801118,0.12124999999999997,,,,,,
103,10300,0.0,-883.8791320817526,0.0,0.0,0.0,-883.8791320817526,3.341128930449486,2.8076828364282846,0.11175000000000002,,,,,,
104,10400,0.0,-901.7645029699671,0.0,0.0,0.0,-901.7645029699671,3.150141604244709,2.693193756043911,0.10225000000000006,,,,,,
105,10500,0.0,-794.141943224641,0.0,0.0,0.0,-794.141943224641,2.3822695864364505,2.9061616632388905,0.09275000000000011,,,,,,
106,10600,0.0,-920.5584637907755,0.0,0.0,0.0,-920.5584637907755,3.046409659087658,3.0732407334726304,0.08325000000000005,,,,,,
107,10700,0.0,-831.8621523163936,0.0,0.0,0.0,-831.8621523163936,2.3134789429605007,3.0187143119983375,0.0737500000000001,,,,,,
108,10800,90.0,-758.0521722833553,30.0,30.0,30.0,-758.0521722833553,1.9814605570863932,3.3428456615656614,0.06425000000000003,,,,,,
109,10900,0.0,-750.5009648030909,0.0,0.0,0.0,-750.5009648030909,2.7684947177767754,3.0533278334187344,0.054750000000000076,,,,,,
110,11000,0.0,-928.0008230875368,0.0,0.0,0.0,-928.0008230875368,3.127734512090683,3.207593978731893,0.050000000000000044,,,,,,
111,11100,0.0,-898.3425520449091,0.0,0.0,0.0,-898.3425520449091,3.238246150314808,3.265657065436244,0.050000000000000044,,,,,,
112,11200,0.0,-847.3548049433554,0.0,0.0,0.0,-847.3548049433554,3.1400394067168236,3.3601244036108255,0.050000000000000044,,,,,,
113,11300,0.0,-774.2932862386356,0.0,0.0,0.0,-774.2932862386356,2.7763168970122933,3.398271899903193,0.050000000000000044,,,,,,
114,11400,0.0,-816.9468908343222,0.0,0.0,0.0,-816.9468908343222,1.9804780120030046,3.2761274182703346,0.050000000000000044,,,,,,
115,11500,0.0,-322.3295006817664,0.0,0.0,0.0,-322.3295006817664,3.7583216056227684,3.2810894808499143,0.050000000000000044,,,,,,
116,11600,60.0,-68.05558350658131,20.0,20.0,20.0,-68.05558350658131,3.4687614077702165,3.242006874177605,0.050000000000000044,,,,,,
117,11700,0.0,-262.1484949142541,0.0,0.0,0.0,-262.1484949142541,3.61811650544405,3.3730094972997904,0.050000000000000044,,,,,,
118,11800,0.0,-346.13564548271546,0.0,0.0,0.0,-346.13564548271546,3.6398239359259605,3.36130107101053,0.050000000000000044,,,,,,
119,11900,0.0,0.0,0.0,0.0,0.0,0.0,3.3972509703598917,3.4588285982608795,0.050000000000000044,,,,,,
120,12000,0.0,0.0,0.0,0.0,0.0,0.0,3.601013720035553,3.6111984667368233,0.050000000000000044,18.0,-57.2116161278816,6.0,-276.9436484997224,15.0,-57.651331545070626
121,12100,0.0,-10.595250348364148,0.0,0.0,0.0,-10.595250348364148,2.5624179020524025,3.2645918768830597,0.050000000000000044,,,,,,
122,12200,0.0,-37.96168738621887,0.0,0.0,0.0,-37.96168738621887,3.37414413690567,3.608983207028359,0.050000000000000044,,,,,,
123,12300,0.0,-67.97871049625066,0.0,0.0,0.0,-67.97871049625066,2.545318879187107,3.6029790798202157,0.050000000000000044,,,,,,
124,12400,0.0,-272.63086824943235,0.0,0.0,0.0,-272.63086824943235,2.7206687666475773,3.4873335971497,0.050000000000000044,,,,,,
125,12500,0.0,-497.88119939361127,0.0,0.0,0.0,-497.88119939361127,2.1802546756807715,3.3952214915771037,0.050000000000000044,,,,,,
126,12600,0.0,-547.5084848771197,0.0,0.0,0.0,-547.5084848771197,3.62140039447695,3.495754672214389,0.050000000000000044,,,,,,
127,12700,0.0,-205.88537825837525,0.0,0.0,0.0,-205.88537825837525,2.5369851696304977,3.581590127083473,0.050000000000000044,,,,,,
128,12800,0.0,-279.6285704038974,0.0,0.0,0.0,-279.6285704038974,3.3522071093320847,3.5927426365669817,0.050000000000000044,,,,,,
129,12900,0.0,-311.88661609074893,0.0,0.0,0.0,-311.88661609074893,3.4974296912550926,3.5050796400755644,0.050000000000000044,,,,,,
130,13000,30.0,-96.09424477793843,10.0,10.0,10.0,-96.09424477793843,3.6510785967111588,3.328948888927698,0.050000000000000044,,,,,,
131,13100,0.0,-33.16185081430437,0.0,0.0,0.0,-33.16185081430437,4.104906223714352,3.477494399063289,0.050000000000000044,,,,,,
132,13200,0.0,-13.387195276038621,0.0,0.0,0.0,-13.387195276038621,3.8075831905007362,3.581169808283448,0.050000000000000044,,,,,,
133,13300,0.0,-15.400417691820202,0.0,0.0,0.0,-15.400417691820202,2.898036014288664,3.660521681420505,0.050000000000000044,,,,,,
134,13400,0.0,0.0,0.0,0.0,0.0,0.0,3.6570235332474113,3.63311714399606,0.050000000000000044,,,,,,
135,13500,0.0,-92.34618438877858,0.0,0.0,0.0,-92.34618438877858,3.4469337724149227,3.5835307268425822,0.050000000000000044,,,,,,
136,13600,0.0,0.0,0.0,0.0,0.0,0.0,2.7524153739213943,3.4083583613391966,0.050000000000000044,,,,,,
137,13700,0.0,-75.07686376581262,0.0,0.0,0.0,-75.07686376581262,2.000597979640588,3.5659724338911474,0.050000000000000044,,,,,,
138,13800,60.0,-20.47858832443167,20.0,20.0,20.0,-20.47858832443167,2.8879879266023636,3.841277047409676,0.050000000000000044,,,,,,
139,13900,0.0,-13.90358520335787,0.0,0.0,0.0,-13.90358520335787,3.0299641005694866,3.895593985915184,0.050000000000000044,,,,,,
140,14000,0.0,0.0,0.0,0.0,0.0,0.0,1.996919076424092,3.5197836618172005,0.050000000000000044,15.0,-30.77908199256483,12.0,-138.7754687867851,45.0,-23.340032953440563
141,14100,0.0,-55.318835811419845,0.0,0.0,0.0,-55.318835811419845,3.5097741596400738,3.693348023109138,0.050000000000000044,,,,,,
142,14200,0.0,-227.7049056117666,0.0,0.0,0.0,-227.7049056117666,2.1029409365728498,3.6525226566009223,0.050000000000000044,,,,,,
143,14300,90.0,-42.660084924932185,30.0,30.0,30.0,-42.660084924932185,3.483986228937283,3.8199759034905583,0.050000000000000044,,,,,,
144,14400,0.0,-15.335839041781993,0.0,0.0,0.0,-15.335839041781993,2.9912029206752777,3.648531007114798,0.050000000000000044,,,,,,
145,14500,60.0,-20.0,20.0,20.0,20.0,-20.0,2.476252369582653,3.565071535296738,0.050000000000000044,,,,,,
146,14600,0.0,0.0,0.0,0.0,0.0,0.0,3.5022551119327545,3.701197230257094,0.050000000000000044,,,,,,
147,14700,0.0,0.0,0.0,0.0,0.0,0.0,1.6089408420957625,3.8804163495078683,0.050000000000000044,,,,,,
148,14800,0.0,-76.0486736208159,0.0,0.0,0.0,-76.0486736208159,3.758750446140766,3.8593067387118936,0.050000000000000044,,,,,,
149,14900,0.0,-7.964647702222121,0.0,0.0,0.0,-7.964647702222121,2.686350353062153,3.7393933832645416,0.050000000000000044,,,,,,
150,15000,0.0,-100.33210666656683,0.0,0.0,0.0,-100.33210666656683,3.183132188860327,3.487845301628113,0.050000000000000044,,,,,,
151,15100,0.0,-38.55935895577158,0.0,0.0,0.0,-38.55935895577158,2.0201077423989773,3.6253556623123586,0.050000000000000044,,,,,,
152,15200,0.0,0.0,0.0,0.0,0.0,0.0,2.144217853900045,3.5628425900358707,0.050000000000000044,,,,,,
153,15300,0.0,0.0,0.0,0.0,0.0,0.0,2.4758156090974808,3.920727798715234,0.050000000000000044,,,,,,
154,15400,120.0,-144.13502776726307,40.0,40.0,40.0,-144.13502776726307,1.5493781416444108,3.8344498742371798,0.050000000000000044,,,,,,
155,15500,30.0,-11.227911886824566,10.0,10.0,10.0,-11.227911886824566,2.445166466408409,3.4881196478381753,0.050000000000000044,,,,,,
156,15600,90.0,-30.439623328268603,30.0,30.0,30.0,-30.439623328268603,4.581130597740412,3.3865955913206562,0.050000000000000044,,,,,,
157,15700,0.0,-77.32809003654754,0.0,0.0,0.0,-77.32809003654754,3.14617170765996,3.588776495307684,0.050000000000000044,,,,,,
158,15800,0.0,-7.161596142964181,0.0,0.0,0.0,-7.161596142964181,2.6366865560412407,3.9198495615273714,0.050000000000000044,,,,,,
159,15900,0.0,-121.79154529564,0.0,0.0,0.0,-121.79154529564,3.167111374437809,3.6682479575974867,0.050000000000000044,,,,,,
160,16000,0.0,0.0,0.0,0.0,0.0,0.0,2.8063900547567755,3.8073351057246327,0.050000000000000044,3.0,-70.96248056709159,21.0,-171.99788786343754,27.0,-10.34052635849637
161,16100,0.0,-126.0231558262176,0.0,0.0,0.0,-126.0231558262176,2.252322591142729,3.6385663021355867,0.050000000000000044,,,,,,
162,16200,0.0,0.0,0.0,0.0,0.0,0.0,3.7925649881362915,3.604296363890171,0.050000000000000044,,,,,,
163,16300,0.0,-524.33963763332,0.0,0.0,0.0,-524.33963763332,2.7230854481458664,3.7407133542001247,0.050000000000000044,,,,,,
164,16400,0.0,-302.8696104515947,0.0,0.0,0.0,-302.8696104515947,2.2338660624809563,3.8144175466150045,0.050000000000000044,,,,,,
165,16500,90.0,-129.1487679991911,30.0,30.0,30.0,-129.1487679991911,3.2550454698503017,3.763482258655131,0.050000000000000044,,,,,,
166,16600,0.0,0.0,0.0,0.0,0.0,0.0,2.8078742176294327,3.6102114364039153,0.050000000000000044,,,,,,
167,16700,0.0,-0.21399282915886775,0.0,0.0,0.0,-0.21399282915886775,4.4703492894768715,4.066135150846094,0.050000000000000044,,,,,,
168,16800,0.0,0.0,0.0,0.0,0.0,0.0,3.5176930651068687,3.5875229984521866,0.050000000000000044,,,,,,
169,16900,0.0,-42.68694289376756,0.0,0.0,0.0,-42.68694289376756,1.5309476675465703,3.8995181147474796,0.050000000000000044,,,,,,
170,17000,0.0,-3.0166439294807876,0.0,0.0,0.0,-3.0166439294807876,3.2852082028985023,3.776086885482073,0.050000000000000044,,,,,,
171,17100,0.0,-63.44124675415083,0.0,0.0,0.0,-63.44124675415083,2.3379690372385085,3.4985341113060713,0.050000000000000044,,,,,,
172,17200,0.0,0.0,0.0,0.0,0.0,0.0,3.1767313554883003,3.5677053483668715,0.050000000000000044,,,,,,
173,17300,0.0,-9.025339172912187,0.0,0.0,0.0,-9.025339172912187,2.2770893778651953,3.5696072224527597,0.050000000000000044,,,,,,
174,17400,0.0,0.0,0.0,0.0,0.0,0.0,3.3158962950110435,4.043226381763816,0.050000000000000044,,,,,,
175,17500,90.0,-30.0,30.0,30.0,30.0,-30.0,2.585923630744219,3.466950612142682,0.050000000000000044,,,,,,
176,17600,0.0,0.0,0.0,0.0,0.0,0.0,2.694182477891445,3.382007021456957,0.050000000000000044,,,,,,
177,17700,0.0,0.0,0.0,0.0,0.0,0.0,3.3289638943970203,3.158828543499112,0.050000000000000044,,,,,,
178,17800,0.0,0.0,0.0,0.0,0.0,0.0,4.339334804564714,3.8143289536237717,0.050000000000000044,,,,,,
179,17900,0.0,-72.40793352578973,0.0,0.0,0.0,-72.40793352578973,3.1711421869695187,3.8662818677257746,0.050000000000000044,,,,,,
180,18000,0.0,0.0,0.0,0.0,0.0,0.0,1.7618275294080377,3.910768600180745,0.050000000000000044,27.0,-79.19104786927639,9.0,-156.6880866698669,36.0,-34.471060846249486
181,18100,0.0,0.0,0.0,0.0,0.0,0.0,2.7872938215732574,3.631439432501793,0.050000000000000044,,,,,,
182,18200,0.0,0.0,0.0,0.0,0.0,0.0,2.0196273913607,3.6487941425293684,0.050000000000000044,,,,,,
183,18300,0.0,0.0,0.0,0.0,0.0,0.0,2.4878852267283946,3.9849257203750312,0.050000000000000044,,,,,,
184,18400,0.0,-0.610266441750904,0.0,0.0,0.0,-0.610266441750904,1.2828202843666077,3.5125115963164717,0.050000000000000044,,,,,,
185,18500,0.0,0.0,0.0,0.0,0.0,0.0,3.429888963699341,3.6184396985918283,0.050000000000000044,,,,,,
186,18600,0.0,0.0,0.0,0.0,0.0,0.0,4.796682436019182,3.6534979455173016,0.050000000000000044,,,,,,
187,18700,0.0,0.0,0.0,0.0,0.0,0.0,5.037758938968182,3.760300393216312,0.050000000000000044,,,,,,
188,18800,120.0,-232.56364550611264,40.0,40.0,40.0,-232.56364550611264,2.8651282005012035,3.494263106957078,0.050000000000000044,,,,,,
189,18900,0.0,0.0,0.0,0.0,0.0,0.0,2.8312856629490852,3.3875139616429806,0.050000000000000044,,,,,,
190,19000,0.0,-1.3366136257167427,0.0,0.0,0.0,-1.3366136257167427,1.3862313330173492,3.551308924332261,0.050000000000000044,,,,,,
191,19100,60.0,-30.234023336493077,20.0,20.0,20.0,-30.234023336493077,2.3892458113841712,3.750642920495011,0.050000000000000044,,,,,,
192,19200,0.0,0.0,0.0,0.0,0.0,0.0,4.03378089517355,3.8408691668882966,0.050000000000000044,,,,,,
193,19300,0.0,0.0,0.0,0.0,0.0,0.0,2.2298481608740985,3.584116527810693,0.050000000000000044,,,,,,
194,19400,0.0,-61.238528450445536,0.0,0.0,0.0,-61.238528450445536,2.8626522086560726,3.776060222648084,0.050000000000000044,,,,,,
195,19500,30.0,-10.0,10.0,10.0,10.0,-10.0,2.6410695092054084,3.8428141600452363,0.050000000000000044,,,,,,
196,19600,0.0,-137.578004925563,0.0,0.0,0.0,-137.578004925563,3.7981729889288545,3.742554687167285,0.050000000000000044,,,,,,
197,19700,0.0,0.0,0.0,0.0,0.0,0.0,3.334368646144867,3.3130641877651215,0.050000000000000044,,,,,,
198,19800,0.0,0.0,0.0,0.0,0.0,0.0,6.719264451414347,3.578379388898611,0.050000000000000044,,,,,,
