episode,total_steps,adversary_team_return,prey_return,adversary_0_return,adversary_1_return,adversary_2_return,agent_0_return,mean_critic_loss,mean_actor_loss,epsilon,eval_self_play_adversary_return,eval_self_play_prey_return,eval_adv_vs_random_prey_adversary_return,eval_adv_vs_random_prey_prey_return,eval_random_adv_vs_prey_adversary_return,eval_random_adv_vs_prey_prey_return
1,100,90.0,-248.6665374365001,30.0,30.0,30.0,-248.6665374365001,,,1.0,,,,,,
2,200,150.0,-142.22272364007938,50.0,50.0,50.0,-142.22272364007938,,,1.0,,,,,,
3,300,0.0,-206.41399949640086,0.0,0.0,0.0,-206.41399949640086,,,1.0,,,,,,
4,400,0.0,-451.54155966735425,0.0,0.0,0.0,-451.54155966735425,,,1.0,,,,,,
5,500,150.0,-99.24151607174123,50.0,50.0,50.0,-99.24151607174123,,,1.0,,,,,,
6,600,0.0,-533.8546729174407,0.0,0.0,0.0,-533.8546729174407,,,1.0,,,,,,
7,700,0.0,-35.308438177316916,0.0,0.0,0.0,-35.308438177316916,,,1.0,,,,,,
8,800,0.0,-632.1996281180734,0.0,0.0,0.0,-632.1996281180734,,,1.0,,,,,,
9,900,0.0,-55.19154025577659,0.0,0.0,0.0,-55.19154025577659,,,1.0,,,,,,
10,1000,0.0,-11.256188160998688,0.0,0.0,0.0,-11.256188160998688,4.392126053571701,0.004039575345814228,0.99525,,,,,,
11,1100,60.0,-552.2118277994736,20.0,20.0,20.0,-552.2118277994736,5.149392329156399,0.05216686145286076,0.98575,,,,,,
12,1200,0.0,-6.334418908477504,0.0,0.0,0.0,-6.334418908477504,5.313402414321899,0.06641505507286638,0.97625,,,,,,
13,1300,90.0,-156.74034405650247,30.0,30.0,30.0,-156.74034405650247,4.482585400342941,0.09569032746367157,0.96675,,,,,,
14,1400,30.0,-10.0,10.0,10.0,10.0,-10.0,3.743869610130787,0.15757867321372032,0.95725,,,,,,
15,1500,0.0,-308.85374195035627,0.0,0.0,0.0,-308.85374195035627,3.9180919229984283,0.2526608241023496,0.94775,,,,,,
16,1600,0.0,0.0,0.0,0.0,0.0,0.0,4.012933105230331,0.35141482477774844,0.93825,,,,,,
17,1700,30.0,-24.809020603068124,10.0,10.0,10.0,-24.809020603068124,3.249117136001587,0.41270523704588413,0.92875,,,,,,
18,1800,90.0,-36.97944214785137,30.0,30.0,30.0,-36.97944214785137,2.0461157262325287,0.4872684881556779,0.91925,,,,,,
