update,train_mean_episode_return,eval_mean_episode_return,policy_loss,value_loss,entropy
1,-116.76833946108817,,-0.004210475521783034,2.0030253728230796,1.5937168896198273
2,-130.54086489379407,,-0.002789931546431035,3.680537482102712,1.5804757674535115
3,-157.81873548030853,,-0.003173159280170997,5.492583533128102,1.586179753144582
4,-158.27935393750667,,-0.0036297032687192163,1.9107720231016476,1.5925110181172688
5,-147.27578293979167,,-0.0004673068566868703,1.9872116098801296,1.5779494245847066
6,-143.1207378655672,,-0.0009369504017134508,2.1095443417628608,1.5812676399946213
7,-155.88981653153897,,-0.0017983274689565103,3.3764812449614205,1.5499940464893978
8,-181.73068612217904,,-0.0012303626475234826,6.255310833454132,1.5457961857318878
9,-207.36240926086901,,-0.0055355298876141506,5.721358388662338,1.5516505440076191
10,-178.00735813677312,-1357.357416498661,-0.0021363781221831837,4.024723649024963,1.562226672967275
11,-174.25219618678094,,-0.005575056149003406,3.460679362217585,1.5183690786361694
12,-224.06201199293136,,0.002538644941523671,5.51632422208786,1.4933796972036362
13,-277.80378890633585,,0.00029036717023700476,5.101361453533173,1.4827884336312611
14,-259.31886515617373,,-0.0018019424945426483,3.4732926984628043,1.5033213943243027
15,-232.08220835328103,,-0.00250327338774999,4.72336013118426,1.5248176604509354
16,-214.04900718927382,,-0.0001756897351394097,2.505947361389796,1.5249247799317043
17,-210.16727216243743,,-0.0002447691901276509,2.916160374879837,1.5161816279093425
18,-215.77415400743484,,-0.0026706512241313853,3.7606901228427887,1.5024443219105403
19,-206.685909563303,,-0.001923708002626275,4.254443387190501,1.5117155561844509
20,-217.65826224684716,-1366.611491495371,-0.0016883183658743899,5.044813483953476,1.503670573234558
21,-194.7832856029272,,0.0018211309798061848,5.784357845783234,1.4835735708475113
22,-154.08437519967555,,-0.0019707623093078532,3.5669475396474204,1.4626519431670506
23,-176.1475884050131,,-0.0023251691600307822,3.300638606150945,1.4928341060876846
24,-172.49671703875066,,-0.0019252939770619075,3.3872102200984955,1.4704648703336716
25,-176.58112230300904,,-0.00034747521082560223,3.3001730839411416,1.4062795639038086
26,-255.4505616605282,,0.002509434901488324,7.088325550158818,1.4150089174509048
27,-265.15894526541234,,-0.004469182943770041,4.573061446348826,1.4466540018717449
28,-189.34693253338338,,-0.0008935803392281135,6.014248192310333,1.3844936043024063
29,-176.04331684410573,,-0.0028471080392288664,4.33222512404124,1.4197134673595428
30,-173.98452386558057,-1020.0917141795159,-0.0012362234604855378,1.976455623904864,1.4471971640984218
31,-167.77145831584932,,-0.0011222428681018453,3.4236636459827423,1.4354561070601146
32,-204.043534424901,,-0.0056361470099849,3.0836300949255624,1.451502149303754
33,-234.9931801199913,,0.0021873388128976026,6.601196547349294,1.4208377053340275
34,-231.2940185278654,,0.0006964233277055124,4.460659593343735,1.4820882479349773
35,-190.5715919584036,,-0.001600558093438546,4.474060346682866,1.4541367441415787
36,-177.10744664371015,,-0.002415959815455911,3.949328511953354,1.4772757589817047
37,-163.6063761740923,,-0.005127233472497513,3.478135714928309,1.40744415918986
