update,episode,total_steps,train_team_return,td_loss,total_loss,qtot_l2_loss,grad_norm,q_tot_mean,q_tot_std,q_tot_max,target_q_tot_mean,target_q_tot_std,target_q_tot_max,epsilon,eval_team_return,eval_mean_agent_return
1,20,1000,-51.038847183918236,0.046715933829545975,0.046715933829545975,0.0,0.41357576847076416,-0.08954514563083649,0.1528787910938263,0.4825647473335266,0.17419272661209106,0.09235986322164536,0.35541436076164246,0.97,,
2,21,1010,-8.877629002664309,0.044097334146499634,0.044097334146499634,0.0,0.38133400678634644,-0.0701204240322113,0.1538187712430954,0.6590349078178406,0.17592793703079224,0.09852980822324753,0.3506937026977539,0.9697,,
3,21,1020,-20.60956897888656,0.036673419177532196,0.036673419177532196,0.0,0.3393217623233795,-0.04697102680802345,0.14474007487297058,0.39285314083099365,0.17970900237560272,0.08485402911901474,0.34402406215667725,0.9694,,
4,21,1030,-30.447806043607844,0.03767740726470947,0.03767740726470947,0.0,0.36321449279785156,-0.0685378760099411,0.13639575242996216,0.40653449296951294,0.1666799932718277,0.08459769189357758,0.33193281292915344,0.9691,,
5,21,1040,-40.789823294777804,0.03342714160680771,0.03342714160680771,0.0,0.34128162264823914,-0.03517932817339897,0.1401863694190979,0.46190863847732544,0.18244487047195435,0.08345996588468552,0.34180986881256104,0.9688,,
6,21,1050,-52.647997803765,0.0346146896481514,0.0346146896481514,0.0,0.332550972700119,-0.011040624231100082,0.15425604581832886,0.5776360034942627,0.19340062141418457,0.09746529161930084,0.342833012342453,0.9685,,
7,22,1060,-8.029510398257145,0.026817338541150093,0.026817338541150093,0.0,0.29386547207832336,-0.013208177872002125,0.14002647995948792,0.3751651346683502,0.1768197864294052,0.08067014813423157,0.33182209730148315,0.9682,,
8,22,1070,-14.629827763658,0.02735985442996025,0.02735985442996025,0.0,0.269209086894989,-0.0030780648812651634,0.14693474769592285,0.46008414030075073,0.16974061727523804,0.0990498811006546,0.34252268075942993,0.9679,,
9,22,1080,-23.999131731998173,0.028966166079044342,0.028966166079044342,0.0,0.299936443567276,-0.005560949444770813,0.15554320812225342,0.4292593002319336,0.17527300119400024,0.08480194211006165,0.37744441628456116,0.9676,,
10,22,1090,-34.4551814544545,0.026927471160888672,0.026927471160888672,0.0,0.262429803609848,0.020915040746331215,0.15502014756202698,0.4761032164096832,0.18339262902736664,0.08945469558238983,0.3440878093242645,0.9673,,
