episode,steps,team_return
1,100,-132.2646000472774
2,100,-107.03530812300332
3,100,-143.90617027773064
4,100,-217.6347326915561
5,100,-171.3993084499442
6,100,-154.39279669139034
7,100,-92.13729473963983
8,100,-143.13202676232234
9,100,-139.31139631806568
10,100,-149.2296897866076
11,100,-123.05393038751834
12,100,-162.3941288446689
13,100,-110.53054356238016
14,100,-250.9140509825906
15,100,-104.49440287798016
16,100,-165.196425242019
17,100,-88.61756540851682
18,100,-145.7880692303031
19,100,-90.32266638049323
20,100,-181.36890593943673
