episode,steps,team_return
1,100,-198.85412075778237
2,100,-120.1153644365125
3,100,-100.25405981979844
4,100,-121.65454686576713
5,100,-126.24076499197817
6,100,-167.73117496179736
7,100,-128.87944793847763
8,100,-134.87051794415768
9,100,-112.6651397546315
10,100,-119.12645263217482
11,100,-123.47473392813224
12,100,-164.39990419790115
13,100,-116.18736640441563
14,100,-167.98010985429204
15,100,-79.4042184015105
16,100,-100.63545706887754
17,100,-137.96435912921518
18,100,-104.46609142387516
19,100,-78.52859862861291
20,100,-126.7856282180373
