update,episode,total_steps,train_team_return,td_loss,q_tot_mean,target_q_tot_mean,epsilon,eval_team_return,eval_mean_agent_return
0,25,2500,-57.56408780042994,,,,0.9625,-312.56929532837285,-312.5692953283729
1,30,3000,-134.41244557273887,4.153409957885742,1.4485667943954468,2.1970126628875732,0.955,,
2,31,3020,-21.434609806557937,2.0863561630249023,1.5812606811523438,2.006061553955078,0.9547,,
3,31,3040,-32.80386493813431,2.436692714691162,1.6318542957305908,1.91668701171875,0.9544,,
4,31,3060,-44.42542670319075,2.3531198501586914,1.793701410293579,1.902449131011963,0.9541,,
5,31,3080,-77.96186712510882,2.200484275817871,1.8741626739501953,1.9299721717834473,0.9538,,
6,31,3100,-116.85723598271453,1.4103994369506836,2.1250832080841064,2.048055648803711,0.9535,,
7,32,3120,-20.069353121967115,1.2626534700393677,2.172964096069336,2.031697988510132,0.9532,,
8,32,3140,-46.843602399268406,1.4162511825561523,2.249907970428467,2.008690118789673,0.9529,,
9,32,3160,-64.03243328707465,1.509133219718933,2.4240822792053223,2.1376285552978516,0.9526,,
10,32,3180,-82.63954596291651,1.3416593074798584,2.260685443878174,1.9550275802612305,0.9523,,
11,32,3200,-99.35234528265134,1.194347858428955,2.2145934104919434,2.004232168197632,0.952,,
12,33,3220,-33.48722214240844,1.4538723230361938,2.293494462966919,1.890501618385315,0.9517,,
13,33,3240,-89.55932542246752,1.8794351816177368,2.448969841003418,2.086021900177002,0.9514,,
14,33,3260,-140.10361953263876,1.0095970630645752,2.1204731464385986,1.792964220046997,0.9511000000000001,,
15,33,3280,-180.06172639784697,1.1533968448638916,2.324420690536499,1.9826741218566895,0.9508,,
16,33,3300,-199.42519344430815,1.3025556802749634,2.0420358180999756,1.7979912757873535,0.9505,,
17,34,3320,-23.564817212468053,0.9046400785446167,2.355198860168457,2.027219295501709,0.9502,,
18,34,3340,-46.08446337389881,1.6631609201431274,1.8123663663864136,1.5203531980514526,0.9499,,
19,34,3360,-69.42350524429956,0.5330938696861267,1.8912708759307861,1.6395511627197266,0.9496,,
20,34,3380,-99.59463349164878,1.139616847038269,2.025272846221924,1.83015775680542,0.9493,,
21,34,3400,-144.32785077155643,0.5903342366218567,1.9396190643310547,1.836280107498169,0.949,,
22,35,3420,-15.131178462900976,0.8117189407348633,1.7068631649017334,1.556781530380249,0.9487,,
23,35,3440,-33.014111479850754,0.89974045753479,2.446340799331665,2.237645387649536,0.9484,,
24,35,3460,-51.2214346450443,0.6887575387954712,1.894887089729309,1.8208067417144775,0.9480999999999999,,
25,35,3480,-68.65573052675532,2.250802516937256,2.076366662979126,1.897266149520874,0.9478,,
26,35,3500,-94.92857456705649,0.5905128121376038,1.8101390600204468,1.7053700685501099,0.9475,,
27,36,3520,-22.590810089039145,2.031449556350708,2.047574281692505,1.8079349994659424,0.9472,,
28,36,3540,-46.04062592631784,1.497084379196167,1.9671863317489624,1.7752259969711304,0.9469,,
29,36,3560,-77.37712424490996,0.6381855010986328,2.1027889251708984,2.028693437576294,0.9466,,
30,36,3580,-107.7193674940255,2.31050181388855,2.4483087062835693,2.340904712677002,0.9463,,
31,36,3600,-138.31716082515672,0.8690207600593567,1.9720816612243652,1.7941162586212158,0.946,,
32,37,3620,-20.232328121534252,0.7106937766075134,2.251246690750122,2.149824857711792,0.9457,,
33,37,3640,-50.714071632030645,1.2864078283309937,2.1709704399108887,2.0399010181427,0.9454,,
34,37,3660,-75.33107768896885,0.7513601779937744,2.4093973636627197,2.279491662979126,0.9451,,
35,37,3680,-104.26233863368684,0.5289919376373291,2.5104265213012695,2.4215893745422363,0.9448,,
36,37,3700,-128.8566260317528,0.49671992659568787,2.383227586746216,2.2944679260253906,0.9445,,
37,38,3720,-18.347518161363386,2.1798315048217773,2.3917031288146973,2.1571664810180664,0.9442,,
38,38,3740,-42.91879091355044,0.45838090777397156,2.369452953338623,2.204812526702881,0.9439,,
39,38,3760,-70.63855174550126,0.5012717843055725,2.064412832260132,1.9273585081100464,0.9436,,
40,38,3780,-105.37901538750276,1.453798532485962,2.373976707458496,2.099393129348755,0.9433,,
41,38,3800,-145.5153868582441,1.7823210954666138,2.4491617679595947,2.294414520263672,0.943,,
42,39,3820,-24.649380245412676,0.5700060725212097,2.321880340576172,2.136146068572998,0.9427,,
43,39,3840,-45.16936683282961,0.48362937569618225,2.023463487625122,1.9307409524917603,0.9424,,
44,39,3860,-70.68890855410571,1.199046015739441,2.1161983013153076,1.8972370624542236,0.9420999999999999,,
45,39,3880,-102.78835699495386,0.5691666603088379,2.3679568767547607,2.2144570350646973,0.9418,,
46,39,3900,-136.267749945175,0.5915446877479553,2.2513670921325684,2.067634344100952,0.9415,,
47,40,3920,-12.268548932816651,1.580747127532959,2.009552001953125,1.81284761428833,0.9412,,
48,40,3940,-29.984371739153993,0.45692527294158936,1.824269413948059,1.718623399734497,0.9409,,
49,40,3960,-48.62548831906013,0.958966076374054,1.89866304397583,1.7813754081726074,0.9406,,
50,40,3980,-79.20925361340589,0.5964787006378174,2.1660048961639404,2.0960822105407715,0.9403,,
51,40,4000,-101.03647742324885,1.0522016286849976,2.1803431510925293,2.054809331893921,0.94,,
52,41,4020,-18.32363552926631,0.3871707618236542,1.8463935852050781,1.7980717420578003,0.9397,,
53,41,4040,-46.85491016074672,0.6222672462463379,1.9738476276397705,1.920576572418213,0.9394,,
54,41,4060,-68.38706758620788,0.3532036542892456,1.9625962972640991,1.8836194276809692,0.9391,,
55,41,4080,-97.26446745088639,0.5254524350166321,2.1702780723571777,2.066006898880005,0.9388,,
56,41,4100,-136.98804880464874,0.414233922958374,1.95352303981781,1.8715285062789917,0.9385,,
57,42,4120,-23.190209267638878,0.4479951858520508,1.9077037572860718,1.7672598361968994,0.9382,,
58,42,4140,-50.15508325322794,0.5254389643669128,1.9006567001342773,1.6984343528747559,0.9379,,
59,42,4160,-87.21685824170369,0.4863320589065552,2.195824384689331,2.051851511001587,0.9376,,
60,42,4180,-132.6748352659861,0.31141865253448486,2.3484156131744385,2.193859100341797,0.9373,,
61,42,4200,-186.4343813977678,1.439618468284607,1.89700186252594,1.6601735353469849,0.9369999999999999,,
62,43,4220,-29.6456512544009,1.2676228284835815,2.560399293899536,2.3213536739349365,0.9367,,
63,43,4240,-56.18496178369082,2.4554388523101807,2.0767405033111572,1.7675288915634155,0.9364,,
64,43,4260,-78.49818154137697,0.5836320519447327,2.7400896549224854,2.5725905895233154,0.9361,,
65,43,4280,-108.62283079599945,1.5877623558044434,2.4435949325561523,2.200791597366333,0.9358,,
66,43,4300,-132.15861924865456,0.45105236768722534,1.979508876800537,1.9073330163955688,0.9355,,
67,44,4320,-8.694413779912008,0.49792492389678955,2.112362861633301,2.021298885345459,0.9352,,
68,44,4340,-20.395799411167744,0.30355244874954224,2.3902430534362793,2.40057373046875,0.9349,,
69,44,4360,-33.157539668162606,0.3865043818950653,2.3381733894348145,2.2427985668182373,0.9346,,
70,44,4380,-45.07580478765446,0.46890926361083984,2.0687835216522217,1.965748906135559,0.9343,,
71,44,4400,-62.72429830227543,0.533721923828125,2.260587215423584,2.202596664428711,0.9339999999999999,,
72,45,4420,-28.90482791044861,0.43599504232406616,2.231964588165283,2.2167704105377197,0.9337,,
73,45,4440,-59.74614704197868,0.4231167733669281,1.8166135549545288,1.7525192499160767,0.9334,,
74,45,4460,-110.61766905239249,2.6368191242218018,2.3242390155792236,2.086806058883667,0.9331,,
75,45,4480,-173.33469548421436,0.550719141960144,2.0870401859283447,1.965728759765625,0.9328,,
76,45,4500,-230.09250732703654,0.4705239534378052,2.4878573417663574,2.3552162647247314,0.9325,,
77,46,4520,-17.104273455744227,0.6005281209945679,2.318244695663452,2.1961612701416016,0.9322,,
78,46,4540,-36.34574729200496,1.235568642616272,2.148256301879883,1.9672677516937256,0.9319,,
79,46,4560,-53.77752773601621,1.6839468479156494,2.1694858074188232,2.0143768787384033,0.9316,,
80,46,4580,-73.76322469099469,0.31952473521232605,2.3563268184661865,2.223101854324341,0.9313,,
81,46,4600,-97.9082599877601,0.364657461643219,2.0675151348114014,1.955211877822876,0.931,,
82,47,4620,-23.345396368105586,1.2980566024780273,1.98256516456604,1.820899248123169,0.9307,,
83,47,4640,-48.85546040816363,1.31682550907135,2.1686084270477295,2.0049197673797607,0.9304,,
84,47,4660,-81.3556911297435,0.3408307731151581,2.0873000621795654,2.0038952827453613,0.9301,,
85,47,4680,-115.44690219765045,1.5150946378707886,2.255047082901001,2.1508328914642334,0.9298,,
86,47,4700,-134.3681654633173,0.2490966022014618,1.946303129196167,1.9419775009155273,0.9295,,
87,48,4720,-18.54878163679737,0.3770974576473236,2.364283323287964,2.295544147491455,0.9292,,
88,48,4740,-44.508301901309885,0.5841425657272339,1.868295669555664,1.7811766862869263,0.9289000000000001,,
89,48,4760,-69.24772550175744,0.6036250591278076,2.289754629135132,2.3017661571502686,0.9286,,
90,48,4780,-93.38323470086983,0.35344693064689636,1.9195469617843628,1.8855562210083008,0.9283,,
91,48,4800,-129.6837318421256,0.2940431237220764,2.280747413635254,2.298306941986084,0.9279999999999999,,
92,49,4820,-28.498774178951276,0.7244099378585815,2.1955366134643555,2.0732645988464355,0.9277,,
93,49,4840,-60.528601588316,1.1780463457107544,2.1415586471557617,1.9817818403244019,0.9274,,
94,49,4860,-87.40828892359976,0.47795966267585754,1.8777557611465454,1.7215059995651245,0.9271,,
95,49,4880,-116.02296534454065,0.9161766171455383,1.920587420463562,1.6882586479187012,0.9268,,
96,49,4900,-145.18330237382642,0.4166632294654846,2.197051525115967,2.0908031463623047,0.9265,,
97,50,4920,-22.1912420374038,0.3670796751976013,2.062251329421997,2.0048177242279053,0.9262,,
98,50,4940,-48.979299790193245,1.4638415575027466,2.466829776763916,2.2116940021514893,0.9259,,
99,50,4960,-90.00976294566938,0.4085884690284729,1.8312515020370483,1.7515027523040771,0.9256,,
100,50,4980,-140.6174885045386,0.2890549302101135,2.386125326156616,2.266369342803955,0.9253,,
101,50,5000,-208.01919991274468,1.0758603811264038,2.0697548389434814,1.8791604042053223,0.925,-509.7407851517578,-509.7407851517578
102,51,5020,-18.428329431598694,0.3135910928249359,1.9943757057189941,1.9005656242370605,0.9247,,
103,51,5040,-35.7691599460766,1.524410367012024,2.117626428604126,1.9092109203338623,0.9244,,
104,51,5060,-55.0875511386499,0.48870429396629333,2.2050626277923584,2.1421709060668945,0.9241,,
105,51,5080,-82.63291370673124,0.63264399766922,1.8799843788146973,1.86316978931427,0.9238,,
106,51,5100,-111.00205345683666,0.2562623918056488,1.912656307220459,1.9425978660583496,0.9235,,
107,52,5120,-35.272262459456684,0.3450261950492859,1.399662971496582,1.3376392126083374,0.9232,,
108,52,5140,-67.12511213605758,1.228979229927063,2.3165411949157715,2.1569972038269043,0.9229,,
109,52,5160,-92.05466194269802,1.2222613096237183,1.7542533874511719,1.68636953830719,0.9226,,
110,52,5180,-120.95308480800949,0.28309154510498047,1.6145763397216797,1.53358793258667,0.9223,,
111,52,5200,-155.0056277632447,0.33882564306259155,1.8967747688293457,1.8341546058654785,0.922,,
112,53,5220,-35.50288055519942,0.43174922466278076,2.1628928184509277,2.0334558486938477,0.9217,,
113,53,5240,-60.18962023055331,0.3837933838367462,2.07985520362854,1.9348723888397217,0.9214,,
114,53,5260,-92.78200174920303,0.3722498118877411,1.6445152759552002,1.5057005882263184,0.9211,,
115,53,5280,-131.73932416500048,1.3504606485366821,1.8407738208770752,1.6682114601135254,0.9208000000000001,,
116,53,5300,-177.91923301298132,0.4007346034049988,2.0288984775543213,1.8769022226333618,0.9205,,
117,54,5320,-13.512632841984361,0.6412074565887451,2.0478525161743164,1.9116418361663818,0.9202,,
