update,episode,total_steps,train_team_return,td_loss,grad_norm,q_tot_mean,target_q_tot_mean,epsilon,eval_team_return,eval_mean_agent_return
0,25,2500,-68.82205602976747,,,,,0.9625,-312.56929532837285,-312.5692953283729
1,30,3000,-173.7130629260108,1.7901322841644287,12.538226127624512,1.6426942348480225,3.79483699798584,0.955,,
2,31,3020,-21.434609806557937,1.4821289777755737,11.691798210144043,1.4534951448440552,3.3314476013183594,0.9547,,
3,31,3040,-32.80386493813431,1.4511381387710571,12.436100959777832,1.7856345176696777,3.587675094604492,0.9544,,
4,31,3060,-44.42542670319075,1.2779121398925781,10.950428009033203,1.9931647777557373,3.5566792488098145,0.9541,,
5,31,3080,-77.96186712510882,1.2627577781677246,11.092727661132812,1.988670825958252,3.5778279304504395,0.9538,,
6,31,3100,-116.85723598271453,1.0697550773620605,10.578226089477539,2.3367762565612793,3.618687629699707,0.9535,,
7,32,3120,-20.069353121967115,0.948157012462616,9.131752014160156,2.3632915019989014,3.5546603202819824,0.9532,,
8,32,3140,-46.843602399268406,0.8831562995910645,8.028192520141602,3.0377259254455566,3.9954278469085693,0.9529,,
9,32,3160,-64.03243328707465,0.800253689289093,8.395195960998535,2.8061487674713135,3.649341344833374,0.9526,,
10,32,3180,-82.63954596291651,0.6877801418304443,6.595008373260498,2.8455777168273926,3.538348436355591,0.9523,,
11,32,3200,-99.35234528265134,0.6184888482093811,6.634177207946777,3.170898675918579,3.7842960357666016,0.952,,
12,33,3220,-30.067782825104047,0.5934766530990601,4.485509872436523,3.2929201126098633,3.5375161170959473,0.9517,,
13,33,3240,-63.37619492872474,0.5664107799530029,4.299350738525391,3.2926769256591797,3.2756927013397217,0.9514,,
14,33,3260,-103.60979467918831,0.4027453362941742,3.5352447032928467,2.56618070602417,2.711871385574341,0.9511000000000001,,
15,33,3280,-153.68062434792645,0.568906307220459,4.847580432891846,3.2730963230133057,3.3657405376434326,0.9508,,
16,33,3300,-191.69786038367278,0.38425758481025696,4.617068290710449,3.5633113384246826,3.425873041152954,0.9505,,
17,34,3320,-23.564817212468053,0.410465806722641,4.961963176727295,3.7767324447631836,3.5555334091186523,0.9502,,
18,34,3340,-46.08446337389881,0.41715091466903687,3.4814884662628174,3.415341377258301,3.232288122177124,0.9499,,
19,34,3360,-70.3244578028856,0.27868780493736267,4.479958534240723,3.2524280548095703,3.0366859436035156,0.9496,,
20,34,3380,-100.83041053332902,0.3871840536594391,6.229165554046631,3.7374446392059326,3.434072494506836,0.9493,,
21,34,3400,-134.092884683491,0.37232983112335205,6.810471057891846,4.133746147155762,3.7458157539367676,0.949,,
22,35,3420,-15.444929844081129,0.39077454805374146,5.035262584686279,3.703986644744873,3.4195303916931152,0.9487,,
23,35,3440,-37.32304202450845,0.327673077583313,4.8511505126953125,3.9507973194122314,3.67720103263855,0.9484,,
24,35,3460,-60.66412802857996,0.3193455934524536,5.0733489990234375,3.963505983352661,3.736171245574951,0.9480999999999999,,
25,35,3480,-96.65333119009355,0.5091168880462646,4.501336097717285,4.232547283172607,3.913078784942627,0.9478,,
26,35,3500,-144.89150593405418,0.22272881865501404,3.492978811264038,3.6370348930358887,3.502573013305664,0.9475,,
27,36,3520,-22.590810089039145,0.33398836851119995,3.4576475620269775,3.6989150047302246,3.5977635383605957,0.9472,,
28,36,3540,-46.04062592631784,0.3487865626811981,3.170532703399658,3.4707751274108887,3.3185787200927734,0.9469,,
29,36,3560,-77.37712424490996,0.2552487552165985,3.723130702972412,3.770987033843994,3.7691550254821777,0.9466,,
30,36,3580,-107.7193674940255,0.3766946792602539,3.8858532905578613,4.145991802215576,4.020561218261719,0.9463,,
31,36,3600,-138.31716082515672,0.2612706422805786,4.748175621032715,3.4724249839782715,3.4400973320007324,0.946,,
32,37,3620,-20.232328121534252,0.2582436800003052,3.4443678855895996,3.9868645668029785,4.029922962188721,0.9457,,
33,37,3640,-51.38732569344993,0.24777694046497345,4.191924571990967,3.3900718688964844,3.5435233116149902,0.9454,,
34,37,3660,-76.86183549917548,0.30437612533569336,4.319925308227539,3.9508275985717773,4.0284576416015625,0.9451,,
35,37,3680,-102.99189495687703,0.1945367008447647,4.327870845794678,3.832432270050049,3.9771060943603516,0.9448,,
36,37,3700,-125.80549464167488,0.20531854033470154,4.339788436889648,3.4753928184509277,3.677570104598999,0.9445,,
37,38,3720,-18.347518161363386,0.3831064701080322,3.5075972080230713,4.162820816040039,4.055397033691406,0.9442,,
38,38,3740,-42.91879091355044,0.21051748096942902,3.9271976947784424,3.9978771209716797,4.151257038116455,0.9439,,
39,38,3760,-70.74884631228848,0.17946991324424744,4.470489025115967,3.4491798877716064,3.65216326713562,0.9436,,
40,38,3780,-106.26176765382253,0.3022462725639343,2.9316749572753906,3.529099464416504,3.5526046752929688,0.9433,,
41,38,3800,-146.42607730478093,0.26409801840782166,2.5474324226379395,3.772006034851074,3.8186635971069336,0.943,,
42,39,3820,-24.649380245412676,0.2959597408771515,2.8034331798553467,4.122352600097656,4.038273811340332,0.9427,,
43,39,3840,-45.16936683282961,0.17252764105796814,2.756216526031494,3.3143651485443115,3.3903284072875977,0.9424,,
44,39,3860,-69.5520149713638,0.1861095279455185,2.1887784004211426,3.4046339988708496,3.414119243621826,0.9420999999999999,,
45,39,3880,-98.10960358568806,0.19956505298614502,2.493124485015869,3.7682948112487793,3.8148460388183594,0.9418,,
46,39,3900,-128.47214622840966,0.17949745059013367,3.983797073364258,4.036810874938965,3.9194211959838867,0.9415,,
47,40,3920,-13.064953580727117,0.1435476392507553,2.977620840072632,3.8147592544555664,3.814526081085205,0.9412,,
48,40,3940,-33.459865116357534,0.2186702936887741,2.8129477500915527,3.594935894012451,3.433004379272461,0.9409,,
49,40,3960,-50.99185554862255,0.16634702682495117,2.2399299144744873,3.673060655593872,3.5706357955932617,0.9406,,
50,40,3980,-75.69123233941085,0.15239115059375763,2.804222822189331,3.9554896354675293,3.9457759857177734,0.9403,,
51,40,4000,-98.95424813388881,0.1522778421640396,2.5167174339294434,3.532954692840576,3.479234457015991,0.94,,
52,41,4020,-18.272324776476683,0.15203718841075897,3.343257188796997,3.5940544605255127,3.648165702819824,0.9397,,
53,41,4040,-44.03410359091532,0.13767561316490173,2.5419297218322754,3.648986577987671,3.636000156402588,0.9394,,
54,41,4060,-63.80866020488785,0.11304424703121185,2.5155539512634277,3.880981922149658,3.9341235160827637,0.9391,,
55,41,4080,-88.68381271992129,0.17123782634735107,2.566105604171753,3.464315891265869,3.3950490951538086,0.9388,,
56,41,4100,-117.5208454811347,0.10948494076728821,2.669966697692871,3.3875062465667725,3.442326068878174,0.9385,,
57,42,4120,-23.190209267638878,0.15538401901721954,2.8063154220581055,3.3566927909851074,3.316751003265381,0.9382,,
58,42,4140,-50.15508325322794,0.2820053994655609,1.792981505393982,3.307112216949463,3.0763938426971436,0.9379,,
59,42,4160,-86.52417913230728,0.1944347620010376,2.3381104469299316,4.0189738273620605,3.937028169631958,0.9376,,
60,42,4180,-126.65485683621033,0.11762060225009918,2.4894702434539795,3.8468027114868164,3.828120231628418,0.9373,,
61,42,4200,-172.17120975231126,0.15766441822052002,1.6576563119888306,3.729421854019165,3.667079210281372,0.9369999999999999,,
62,43,4220,-29.6456512544009,0.22631391882896423,2.324652671813965,4.063700199127197,3.98209285736084,0.9367,,
63,43,4240,-56.18496178369082,0.2165699452161789,2.3237156867980957,3.6760964393615723,3.5400190353393555,0.9364,,
64,43,4260,-78.49818154137697,0.17858004570007324,2.643545150756836,3.969731330871582,3.8899424076080322,0.9361,,
65,43,4280,-108.62283079599945,0.26880887150764465,3.7171313762664795,4.509742736816406,4.332229137420654,0.9358,,
66,43,4300,-131.15201006470147,0.16092456877231598,2.1086888313293457,3.604361057281494,3.5666651725769043,0.9355,,
