episode,total_steps,adversary_team_return,prey_return,adversary_0_return,adversary_1_return,adversary_2_return,agent_0_return,train_touch_count,mean_critic_loss,mean_actor_loss,mean_actor_entropy,epsilon,eval_self_play_adversary_return,eval_self_play_prey_return,eval_adv_vs_random_prey_adversary_return,eval_adv_vs_random_prey_prey_return,eval_random_adv_vs_prey_adversary_return,eval_random_adv_vs_prey_prey_return,eval_self_play_touch_count,eval_adv_vs_random_prey_touch_count,eval_random_adv_vs_prey_touch_count
1,100,0.0,-202.15532061078932,0.0,0.0,0.0,-202.15532061078932,0.0,,,,1.0,,,,,,,,,
2,200,90.0,-312.5607787134819,30.0,30.0,30.0,-312.5607787134819,9.0,,,,1.0,,,,,,,,,
3,300,90.0,-129.12001806461816,30.0,30.0,30.0,-129.12001806461816,9.0,,,,1.0,,,,,,,,,
4,400,0.0,-97.35058116558449,0.0,0.0,0.0,-97.35058116558449,0.0,,,,1.0,,,,,,,,,
5,500,60.0,-221.73231078173433,20.0,20.0,20.0,-221.73231078173433,6.0,,,,1.0,,,,,,,,,
6,600,0.0,-275.64436195147806,0.0,0.0,0.0,-275.64436195147806,0.0,,,,1.0,,,,,,,,,
7,700,0.0,-241.8258945773254,0.0,0.0,0.0,-241.8258945773254,0.0,,,,1.0,,,,,,,,,
8,800,0.0,-1023.1683274935916,0.0,0.0,0.0,-1023.1683274935916,0.0,,,,1.0,,,,,,,,,
9,900,0.0,-39.79615541923375,0.0,0.0,0.0,-39.79615541923375,0.0,,,,1.0,,,,,,,,,
10,1000,60.0,-99.75317847927829,20.0,20.0,20.0,-99.75317847927829,6.0,,,,1.0,,,,,,,,,
11,1100,0.0,-518.5247855698149,0.0,0.0,0.0,-518.5247855698149,0.0,,,,1.0,,,,,,,,,
12,1200,90.0,-99.47533095306356,30.0,30.0,30.0,-99.47533095306356,9.0,,,,1.0,,,,,,,,,
13,1300,150.0,-89.80970351742852,50.0,50.0,50.0,-89.80970351742852,15.0,,,,1.0,,,,,,,,,
14,1400,0.0,-286.39468049937557,0.0,0.0,0.0,-286.39468049937557,0.0,,,,1.0,,,,,,,,,
15,1500,0.0,-31.650601146650047,0.0,0.0,0.0,-31.650601146650047,0.0,,,,1.0,,,,,,,,,
16,1600,0.0,-18.462233548755062,0.0,0.0,0.0,-18.462233548755062,0.0,,,,1.0,,,,,,,,,
17,1700,30.0,-10.0,10.0,10.0,10.0,-10.0,3.0,,,,1.0,,,,,,,,,
18,1800,0.0,-153.89901063938373,0.0,0.0,0.0,-153.89901063938373,0.0,,,,1.0,,,,,,,,,
19,1900,0.0,-234.147711979234,0.0,0.0,0.0,-234.147711979234,0.0,,,,1.0,,,,,,,,,
20,2000,0.0,-274.6608623804271,0.0,0.0,0.0,-274.6608623804271,0.0,,,,1.0,,,,,,,,,
21,2100,0.0,-487.1580804421377,0.0,0.0,0.0,-487.1580804421377,0.0,,,,1.0,,,,,,,,,
22,2200,0.0,-127.44062227543134,0.0,0.0,0.0,-127.44062227543134,0.0,,,,1.0,,,,,,,,,
23,2300,0.0,-755.4986910188402,0.0,0.0,0.0,-755.4986910188402,0.0,,,,1.0,,,,,,,,,
24,2400,0.0,-156.59794178017748,0.0,0.0,0.0,-156.59794178017748,0.0,,,,1.0,,,,,,,,,
25,2500,0.0,-305.64261634632373,0.0,0.0,0.0,-305.64261634632373,0.0,,,,1.0,,,,,,,,,
26,2600,120.0,-374.57659994666943,40.0,40.0,40.0,-374.57659994666943,12.0,,,,1.0,,,,,,,,,
27,2700,0.0,-138.47294069145792,0.0,0.0,0.0,-138.47294069145792,0.0,,,,1.0,,,,,,,,,
28,2800,0.0,-8.217797433847952,0.0,0.0,0.0,-8.217797433847952,0.0,,,,1.0,,,,,,,,,
29,2900,0.0,-13.804171547332434,0.0,0.0,0.0,-13.804171547332434,0.0,,,,1.0,,,,,,,,,
30,3000,0.0,-288.1357272835893,0.0,0.0,0.0,-288.1357272835893,0.0,,,,1.0,,,,,,,,,
31,3100,0.0,-30.778818992444734,0.0,0.0,0.0,-30.778818992444734,0.0,,,,1.0,,,,,,,,,
32,3200,90.0,-30.0,30.0,30.0,30.0,-30.0,9.0,,,,1.0,,,,,,,,,
33,3300,0.0,-60.86069129645006,0.0,0.0,0.0,-60.86069129645006,0.0,,,,1.0,,,,,,,,,
34,3400,0.0,-76.916316466727,0.0,0.0,0.0,-76.916316466727,0.0,0.00647930521517992,0.006574314902536571,1.6047011017799377,0.99925,,,,,,,,,
35,3500,0.0,-353.0927267945075,0.0,0.0,0.0,-353.0927267945075,0.0,,,,0.99925,,,,,,,,,
36,3600,0.0,-604.6613725646603,0.0,0.0,0.0,-604.6613725646603,0.0,0.014524918864481151,-0.011583743616938591,1.6045717000961304,0.9985,,,,,,,,,
37,3700,0.0,-84.42868537568695,0.0,0.0,0.0,-84.42868537568695,0.0,0.00921976554673165,0.029534224653616548,1.6038082540035248,0.99775,,,,,,,,,
38,3800,90.0,-438.1161540582229,30.0,30.0,30.0,-438.1161540582229,9.0,0.010265464778058231,0.02277621510438621,1.60422283411026,0.997,,,,,,,,,
39,3900,0.0,-25.944908654939574,0.0,0.0,0.0,-25.944908654939574,0.0,0.008201435906812549,-0.040252764243632555,1.604260116815567,0.99625,,,,,,,,,
40,4000,0.0,-48.24547528218332,0.0,0.0,0.0,-48.24547528218332,0.0,,,,0.99625,,,,,,,,,
41,4100,0.0,-0.6235258241822539,0.0,0.0,0.0,-0.6235258241822539,0.0,,,,0.99625,,,,,,,,,
42,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009648608509451151,0.013959302566945553,1.6040405333042145,0.9955,,,,,,,,,
43,4300,60.0,-223.58650238833476,20.0,20.0,20.0,-223.58650238833476,6.0,,,,0.9955,,,,,,,,,
44,4400,120.0,-355.1826312631616,40.0,40.0,40.0,-355.1826312631616,12.0,,,,0.9955,,,,,,,,,
45,4500,0.0,-62.93458235035852,0.0,0.0,0.0,-62.93458235035852,0.0,,,,0.9955,,,,,,,,,
46,4600,0.0,-667.8678376673278,0.0,0.0,0.0,-667.8678376673278,0.0,0.007723902177531272,0.052378284744918346,1.603043407201767,0.99475,,,,,,,,,
47,4700,60.0,-79.19144864890562,20.0,20.0,20.0,-79.19144864890562,6.0,0.01058532256865874,0.008160351775586605,1.6040057837963104,0.994,,,,,,,,,
48,4800,0.0,-466.28591380244563,0.0,0.0,0.0,-466.28591380244563,0.0,0.0052046869532205164,0.056910473853349686,1.6022899150848389,0.99325,,,,,,,,,
49,4900,30.0,-69.32811695789117,10.0,10.0,10.0,-69.32811695789117,3.0,0.0067331199534237385,0.04680628329515457,1.6016457378864288,0.9925,,,,,,,,,
50,5000,0.0,-613.3152138816642,0.0,0.0,0.0,-613.3152138816642,0.0,0.005247843626420945,0.02850448666140437,1.6005915999412537,0.99175,,,,,,,,,
51,5100,0.0,-5.115988541387155,0.0,0.0,0.0,-5.115988541387155,0.0,0.008557950888643973,-0.00882809516042471,1.603722244501114,0.991,,,,,,,,,
52,5200,0.0,-180.69560171584823,0.0,0.0,0.0,-180.69560171584823,0.0,0.0035444810055196285,0.013674558605998755,1.5994662046432495,0.99025,,,,,,,,,
53,5300,0.0,-13.47124896515987,0.0,0.0,0.0,-13.47124896515987,0.0,0.008372902579139918,0.024368141777813435,1.5992375910282135,0.9895,,,,,,,,,
54,5400,0.0,-936.919250429067,0.0,0.0,0.0,-936.919250429067,0.0,,,,0.9895,,,,,,,,,
55,5500,0.0,-1.4387706554053814,0.0,0.0,0.0,-1.4387706554053814,0.0,0.008584568742662668,-0.008070136420428753,1.6035710275173187,0.98875,,,,,,,,,
56,5600,0.0,-302.64091228160976,0.0,0.0,0.0,-302.64091228160976,0.0,0.0064481396111659706,0.0053098867647349834,1.597431480884552,0.988,,,,,,,,,
57,5700,150.0,-102.92183472674789,50.0,50.0,50.0,-102.92183472674789,15.0,0.005820588325150311,0.0069629882927984,1.5966264307498932,0.98725,,,,,,,,,
58,5800,0.0,-1026.8878483414746,0.0,0.0,0.0,-1026.8878483414746,0.0,0.0046751546615269035,-0.0002197185531258583,1.5942103564739227,0.9865,,,,,,,,,
59,5900,0.0,-831.7153260695279,0.0,0.0,0.0,-831.7153260695279,0.0,0.005731927813030779,0.01965252705849707,1.5937167704105377,0.98575,,,,,,,,,
60,6000,0.0,-81.33288388946818,0.0,0.0,0.0,-81.33288388946818,0.0,0.013327175402082503,-0.045115954941138625,1.5993786454200745,0.985,,,,,,,,,
61,6100,90.0,-358.6540041436861,30.0,30.0,30.0,-358.6540041436861,9.0,0.005082882387796417,0.01064239488914609,1.5901192724704742,0.98425,,,,,,,,,
62,6200,90.0,-42.71707581812277,30.0,30.0,30.0,-42.71707581812277,9.0,0.008265178359579295,0.022861493285745382,1.6016899049282074,0.9835,,,,,,,,,
63,6300,60.0,-23.26042839295369,20.0,20.0,20.0,-23.26042839295369,6.0,0.005287267034873366,0.027249000733718276,1.600923329591751,0.98275,,,,,,,,,
64,6400,0.0,-765.7805747291959,0.0,0.0,0.0,-765.7805747291959,0.0,0.00429437737329863,0.03336657537147403,1.5902993083000183,0.982,,,,,,,,,
65,6500,60.0,-20.24418678747516,20.0,20.0,20.0,-20.24418678747516,6.0,0.007928609702503309,0.019616994773969054,1.5866965651512146,0.98125,,,,,,,,,
66,6600,60.0,-46.47590021814155,20.0,20.0,20.0,-46.47590021814155,6.0,0.007536822697147727,0.020783446030691266,1.5997902750968933,0.9805,,,,,,,,,
67,6700,0.0,-243.85041665240774,0.0,0.0,0.0,-243.85041665240774,0.0,0.010542180272750556,-0.008543604984879494,1.594749003648758,0.97975,,,,,,,,,
68,6800,30.0,-56.81940982285538,10.0,10.0,10.0,-56.81940982285538,3.0,0.008577833737945184,0.03615153767168522,1.5821595788002014,0.979,,,,,,,,,
69,6900,0.0,-116.0436149474987,0.0,0.0,0.0,-116.0436149474987,0.0,0.0059970360598526895,0.03146224841475487,1.5797780454158783,0.97825,,,,,,,,,
70,7000,0.0,-253.14750091412958,0.0,0.0,0.0,-253.14750091412958,0.0,0.007340137235587463,-0.003163584740832448,1.5874257683753967,0.9775,,,,,,,,,
71,7100,60.0,-91.93190597301384,20.0,20.0,20.0,-91.93190597301384,6.0,0.004109072600840591,0.020548607222735882,1.5736483931541443,0.97675,,,,,,,,,
72,7200,30.0,-15.209833447128268,10.0,10.0,10.0,-15.209833447128268,3.0,0.0044360526371747255,0.024297310039401054,1.5851096212863922,0.976,,,,,,,,,
73,7300,0.0,-121.65761116269933,0.0,0.0,0.0,-121.65761116269933,0.0,0.0067397344537312165,-0.010020826011896133,1.5829687416553497,0.97525,,,,,,,,,
74,7400,0.0,-131.93911078243704,0.0,0.0,0.0,-131.93911078243704,0.0,0.00617367890663445,0.011366208782419562,1.5969725847244263,0.9745,,,,,,,,,
75,7500,0.0,-537.1894147614132,0.0,0.0,0.0,-537.1894147614132,0.0,0.0033858736569527537,0.026111589511856437,1.581333965063095,0.97375,,,,,,,,,
76,7600,0.0,-111.35878815085096,0.0,0.0,0.0,-111.35878815085096,0.0,0.00849698786623776,0.009127039229497313,1.5949503183364868,0.973,,,,,,,,,
77,7700,0.0,-541.2284725772902,0.0,0.0,0.0,-541.2284725772902,0.0,0.004809937323443592,0.024666338227689266,1.5801770389080048,0.97225,,,,,,,,,
78,7800,0.0,-39.25180269340054,0.0,0.0,0.0,-39.25180269340054,0.0,0.007123626652173698,0.010039813118055463,1.5923926532268524,0.9715,,,,,,,,,
79,7900,0.0,-10.933990663977482,0.0,0.0,0.0,-10.933990663977482,0.0,0.0034130027488572523,0.014584141434170306,1.5901331901550293,0.97075,,,,,,,,,
80,8000,180.0,-96.13083272959427,60.0,60.0,60.0,-96.13083272959427,18.0,0.007638979775947519,-0.0126650370657444,1.5791418850421906,0.97,,,,,,,,,
81,8100,0.0,-59.20268094787089,0.0,0.0,0.0,-59.20268094787089,0.0,0.007992918195668608,0.002535048872232437,1.5646279454231262,0.96925,,,,,,,,,
82,8200,0.0,-2.554607841404466,0.0,0.0,0.0,-2.554607841404466,0.0,0.011820961037301458,-0.021077501587569714,1.5742695033550262,0.9685,,,,,,,,,
