update,episode,total_steps,train_team_return,td_loss,total_loss,grad_norm,q_tot_mean,q_tot_std,q_tot_max,target_q_tot_mean,target_q_tot_std,target_q_tot_max,epsilon,eval_team_return,eval_mean_agent_return
1,4,200,-56.45715429242653,0.20191122591495514,0.20191122591495514,1.4449198246002197,0.11487194061279297,0.27971741557121277,0.8906704783439636,0.764400863647461,0.20820337533950806,1.3959324359893799,0.94,,
2,5,250,-60.62580224436927,0.19508817791938782,0.19508817791938782,1.4163116216659546,0.12703113555908202,0.2786211371421814,0.9009438753128052,0.7644446563720703,0.2082209438085556,1.3960256576538086,0.925,,
3,6,300,-52.5148089792231,0.20853981375694275,0.20853981375694275,1.5178112983703613,0.19151805877685546,0.29736563563346863,1.0973484516143799,0.8505243682861328,0.30920132994651794,1.4676487445831299,0.91,,
4,7,350,-74.76224639845903,0.22005347907543182,0.22005347907543182,1.4893568754196167,0.15891798973083496,0.28836652636528015,1.1120425462722778,0.8309927368164063,0.31341904401779175,1.467908501625061,0.895,,
5,8,400,-74.63383189978342,0.17567656934261322,0.17567656934261322,1.265218734741211,0.19394363403320314,0.2735409140586853,1.1271796226501465,0.7884512329101563,0.27187222242355347,1.4682631492614746,0.88,,
6,9,450,-66.0006849550794,0.20414291322231293,0.20414291322231293,1.516634464263916,0.2837059020996094,0.33974945545196533,1.1423430442810059,0.9323281860351562,0.2879391312599182,1.468712329864502,0.865,,
7,10,500,-85.31186472578679,0.18510550260543823,0.18510550260543823,1.3380552530288696,0.2816062545776367,0.33192017674446106,1.2794559001922607,0.8911215209960938,0.2961045801639557,1.6366534233093262,0.85,-272.47910335093263,-272.47910335093263
8,11,550,-121.24983369721878,0.16965067386627197,0.16965067386627197,1.214095115661621,0.34312091827392577,0.33300185203552246,1.2925703525543213,0.9155919647216797,0.31248337030410767,1.637174367904663,0.835,,
9,12,600,-48.97520324827255,0.15254192054271698,0.15254192054271698,1.145025610923767,0.26214649200439455,0.293149471282959,1.3071341514587402,0.8042640686035156,0.29261496663093567,1.6377766132354736,0.82,,
10,13,650,-63.35267422735019,0.14408032596111298,0.14408032596111298,1.161999225616455,0.22117746353149415,0.33507415652275085,1.677811622619629,0.7456571197509766,0.3100118637084961,1.598276972770691,0.8049999999999999,,
11,14,700,-70.38461452094411,0.3014015555381775,0.3014015555381775,1.9530282020568848,0.41240074157714846,0.4595237076282501,2.1421775817871094,1.2140138244628906,0.40335237979888916,1.980104923248291,0.79,,
12,15,750,-68.8454497885376,0.17404495179653168,0.17404495179653168,1.316651463508606,0.36996414184570314,0.41496041417121887,2.0125198364257812,0.93584716796875,0.37838470935821533,1.8164652585983276,0.775,,
13,16,800,-60.97887106859037,0.13411016762256622,0.13411016762256622,1.0326786041259766,0.3286439895629883,0.29573214054107666,1.3649182319641113,0.8303410339355469,0.28658339381217957,1.6409838199615479,0.76,,
14,17,850,-77.54228667708807,0.1788417100906372,0.1788417100906372,1.255841612815857,0.3680333709716797,0.3693407475948334,1.7474030256271362,0.9481272888183594,0.2826347351074219,1.602412462234497,0.745,,
15,18,900,-95.9661648625063,0.2190040946006775,0.2190040946006775,1.4902632236480713,0.5223011016845703,0.4871503412723541,2.22855281829834,1.1491584777832031,0.4717796742916107,2.0853593349456787,0.73,,
16,19,950,-72.65682315803292,0.13707056641578674,0.13707056641578674,1.0721826553344727,0.2905403518676758,0.2887079119682312,1.2801008224487305,0.7901277923583985,0.29455792903900146,1.4779670238494873,0.7150000000000001,,
17,20,1000,-98.75446011099267,0.127802312374115,0.127802312374115,1.0238367319107056,0.3663452911376953,0.34997379779815674,1.4239890575408936,0.8548528289794922,0.2831256687641144,1.6454259157180786,0.7,-285.8132088462495,-285.8132088462495
18,21,1050,-110.25402073489151,0.11228486895561218,0.11228486895561218,0.9154009819030762,0.5131964111328124,0.3967805802822113,1.794813632965088,0.932365951538086,0.3274983763694763,1.814636468887329,0.685,,
19,22,1100,-76.0027646045167,0.09536474198102951,0.09536474198102951,0.8270493745803833,0.281644287109375,0.2480667382478714,0.917773425579071,0.6870140075683594,0.22004388272762299,1.295420527458191,0.67,,
20,23,1150,-126.82994492839869,0.13987083733081818,0.13987083733081818,1.0505900382995605,0.47587581634521486,0.3580205738544464,1.5025508403778076,0.963609619140625,0.42129456996917725,1.9333112239837646,0.655,,
21,24,1200,-102.50180958477158,0.19286412000656128,0.19286412000656128,1.3042798042297363,0.615762825012207,0.4779128432273865,2.1844851970672607,1.1631722259521484,0.4628765881061554,1.9351506233215332,0.6399999999999999,,
22,25,1250,-126.66382013105851,0.215161994099617,0.215161994099617,1.4044020175933838,0.7895677185058594,0.6352053284645081,2.5057501792907715,1.3413467407226562,0.5279850363731384,2.2435426712036133,0.625,,
23,26,1300,-126.59524794600328,0.17457827925682068,0.17457827925682068,1.336312174797058,0.559039649963379,0.4811358153820038,2.3839166164398193,1.1142395782470702,0.434236079454422,2.0005557537078857,0.61,,
24,27,1350,-155.0333784717806,0.1563737988471985,0.1563737988471985,1.0353213548660278,0.7854824829101562,0.5568901300430298,2.4620919227600098,1.2422670745849609,0.5212414860725403,2.1518726348876953,0.595,,
25,28,1400,-63.547572891921064,0.12517955899238586,0.12517955899238586,0.8856171369552612,0.5141468811035156,0.3809957802295685,1.9069409370422363,0.929619369506836,0.33707594871520996,1.632680058479309,0.58,,
26,29,1450,-124.19939325419995,0.11992612481117249,0.11992612481117249,0.8025795221328735,0.7021363830566406,0.4557538628578186,2.1564245223999023,1.0769400024414062,0.2917371988296509,1.798323392868042,0.565,,
27,30,1500,-150.277703649961,0.14599400758743286,0.14599400758743286,1.0215003490447998,0.5796298980712891,0.4790799617767334,2.4446616172790527,1.0339137268066407,0.4311755895614624,2.010073184967041,0.55,-272.83843690970986,-272.83843690970986
