update,episode,total_steps,train_team_return,td_loss,q_tot_mean,target_q_tot_mean,epsilon,eval_team_return,eval_mean_agent_return
1,4,200,-73.47973110479515,0.6828913688659668,-0.26253044605255127,-0.359597772359848,0.94,,
2,5,210,-11.229343561678137,0.556472897529602,-0.01824285462498665,-0.1961328536272049,0.9369999999999999,,
3,5,220,-22.72508867436242,0.3569813072681427,-0.15297695994377136,-0.24418790638446808,0.9339999999999999,,
4,5,230,-35.26659268214178,0.22866657376289368,-0.036358077079057693,0.0028960704803466797,0.931,,
5,5,240,-44.89786856769549,0.18753483891487122,0.03821873664855957,0.0839163064956665,0.9279999999999999,,
6,5,250,-52.6126552367251,0.26340174674987793,-0.04159555584192276,-0.03556324541568756,0.925,,
7,6,260,-9.732058331028261,0.14498266577720642,-0.0850762128829956,-0.19175240397453308,0.922,,
8,6,270,-18.371080185649998,0.12398341298103333,-0.10362343490123749,-0.2270175665616989,0.919,,
9,6,280,-28.7645159803408,0.1215212419629097,-0.04383596405386925,-0.12818072736263275,0.916,,
10,6,290,-41.29591548585979,0.3390263319015503,-0.1854027956724167,-0.1696588397026062,0.913,,
11,6,300,-54.73091094546557,0.9974015355110168,-0.4918261170387268,-0.23745912313461304,0.91,,
12,7,310,-11.90282838831776,0.3299517333507538,-0.17627190053462982,-0.10066895931959152,0.907,,
13,7,320,-20.739945727655883,0.12753935158252716,0.16694308817386627,0.1034993901848793,0.904,,
14,7,330,-30.239018230995256,0.2271909862756729,0.11861775070428848,0.04983025789260864,0.901,,
15,7,340,-39.697967710517304,0.1499435156583786,0.01935490593314171,-0.037919625639915466,0.898,,
16,7,350,-46.044287825789915,0.2507023215293884,0.5034970045089722,0.40882426500320435,0.895,,
17,8,360,-13.970266188311836,0.3424839377403259,0.23086696863174438,0.1684015691280365,0.892,,
18,8,370,-28.740772586695012,0.34898531436920166,0.08639558404684067,-0.06211262568831444,0.889,,
19,8,380,-45.26135616441759,0.2099008709192276,0.4312974214553833,0.3820638656616211,0.886,,
20,8,390,-63.011218048559904,0.2582170367240906,0.28549274802207947,0.20934583246707916,0.883,,
21,8,400,-83.95374645943888,0.3471589684486389,-0.043100353330373764,-0.07484740763902664,0.88,,
22,9,410,-17.12023379355788,0.3103612959384918,0.245574489235878,0.266104519367218,0.877,,
23,9,420,-28.726335832534144,0.21877482533454895,0.29557400941848755,0.2367868721485138,0.874,,
24,9,430,-40.54179254630574,0.27688220143318176,0.18870185315608978,0.060244590044021606,0.871,,
25,9,440,-55.33837113952791,0.21359725296497345,0.06259438395500183,0.14580117166042328,0.868,,
26,9,450,-70.12678127692149,0.14255252480506897,0.23664046823978424,0.19398334622383118,0.865,,
27,10,460,-13.449431313967619,0.21167369186878204,0.2603211998939514,0.18529632687568665,0.862,,
28,10,470,-25.67744050523908,0.1523694396018982,-0.04365084320306778,-0.06856222450733185,0.859,,
29,10,480,-41.41324324028853,0.15386663377285004,-0.04980040341615677,-0.012230237945914268,0.856,,
30,10,490,-53.29680009744258,0.11866521835327148,0.19237284362316132,0.21086400747299194,0.853,,
31,10,500,-63.59406798646402,0.250693678855896,-0.0594293586909771,0.00284779816865921,0.85,-78.05625603867213,-78.05625603867215
32,11,510,-13.858633963251975,0.11584184318780899,0.20925503969192505,0.2648046612739563,0.847,,
33,11,520,-26.151304588990527,0.1263371855020523,0.16086283326148987,0.10376683622598648,0.844,,
34,11,530,-39.60308506085068,0.10332721471786499,0.025036823004484177,-0.013776564970612526,0.841,,
35,11,540,-51.6835868448728,0.10716983675956726,-0.02541733905673027,-0.06887850910425186,0.838,,
36,11,550,-62.26524456671804,0.14031371474266052,0.3535724878311157,0.1936817765235901,0.835,,
37,12,560,-6.976550840489618,0.1642654687166214,0.3035913109779358,0.23363028466701508,0.832,,
38,12,570,-15.371446774822694,0.4825507402420044,0.05287494137883186,-0.12965843081474304,0.829,,
39,12,580,-23.30733344154949,0.16057205200195312,-0.07161875069141388,-0.2348034679889679,0.8260000000000001,,
40,12,590,-32.72798038059913,0.08251561969518661,0.027463551610708237,0.015199119225144386,0.823,,
41,12,600,-41.74917633780651,0.2532346546649933,0.12458477169275284,0.22714963555335999,0.82,,
42,13,610,-5.4441542711849324,0.5237618088722229,0.07288756966590881,0.04337501525878906,0.817,,
43,13,620,-11.600439405717367,0.5319305062294006,0.062217116355895996,0.06672646105289459,0.8140000000000001,,
44,13,630,-18.846577990075097,0.17858023941516876,-0.23619019985198975,-0.063071109354496,0.8109999999999999,,
45,13,640,-27.307193891761287,0.29094773530960083,-0.21264803409576416,-0.1419142633676529,0.808,,
46,13,650,-36.99639685341735,0.5371524691581726,0.07644923031330109,0.37211012840270996,0.8049999999999999,,
