update,episode,total_steps,train_team_return,td_loss,grad_norm,q_tot_mean,target_q_tot_mean,epsilon,eval_team_return,eval_mean_agent_return
0,25,2500,-92.6986186319004,,,,,0.9625,-312.56929532837285,-312.5692953283729
1,30,3000,-148.24254941635024,1.7891300916671753,11.60818099975586,1.3229352235794067,3.50911545753479,0.955,,
2,31,3020,-21.434609806557937,1.4620317220687866,10.967984199523926,1.4229817390441895,3.271541118621826,0.9547,,
3,31,3040,-32.80386493813431,1.2093511819839478,10.675378799438477,1.6980962753295898,3.2805349826812744,0.9544,,
4,31,3060,-44.42542670319075,1.14971125125885,11.966300964355469,2.263148784637451,3.761727809906006,0.9541,,
5,31,3080,-77.96186712510882,0.8252769708633423,9.509686470031738,1.7341986894607544,2.9277164936065674,0.9538,,
6,31,3100,-116.85723598271453,0.7643576264381409,7.413578033447266,2.085177421569824,3.02150297164917,0.9535,,
7,32,3120,-20.069353121967115,0.7713632583618164,9.24038314819336,2.4358503818511963,3.458796977996826,0.9532,,
8,32,3140,-46.843602399268406,0.5570321679115295,6.220007419586182,2.545076608657837,3.1917009353637695,0.9529,,
9,32,3160,-64.03243328707465,0.4864785671234131,6.278074264526367,2.2874159812927246,2.9655776023864746,0.9526,,
10,32,3180,-82.63954596291651,0.5377240777015686,6.643233776092529,2.498762607574463,3.1804561614990234,0.9523,,
11,32,3200,-99.35234528265134,0.4882667362689972,4.814210414886475,2.9725489616394043,3.3402421474456787,0.952,,
12,33,3220,-30.067782825104047,0.542510449886322,4.005560398101807,3.0417675971984863,3.286708116531372,0.9517,,
13,33,3240,-63.37619492872474,0.5061444640159607,4.437126636505127,3.33655047416687,3.4354653358459473,0.9514,,
14,33,3260,-103.60979467918831,0.3526262640953064,4.299367904663086,2.908999443054199,3.061738967895508,0.9511000000000001,,
15,33,3280,-153.68062434792645,0.3988514840602875,4.587863922119141,3.220825433731079,3.131666421890259,0.9508,,
16,33,3300,-191.69786038367278,0.3540892004966736,4.336610794067383,3.2339229583740234,3.1341969966888428,0.9505,,
17,34,3320,-23.564817212468053,0.35734817385673523,3.769073009490967,3.2547311782836914,3.166181802749634,0.9502,,
18,34,3340,-46.08446337389881,0.39450013637542725,4.1515655517578125,3.172823190689087,2.9778237342834473,0.9499,,
19,34,3360,-70.3244578028856,0.31194519996643066,3.9490256309509277,3.2912487983703613,3.215463399887085,0.9496,,
20,34,3380,-100.83041053332902,0.38105887174606323,5.068698883056641,3.377150535583496,3.102475166320801,0.9493,,
21,34,3400,-134.092884683491,0.2883884012699127,3.818202257156372,3.317324638366699,3.1079885959625244,0.949,,
22,35,3420,-15.621073735379353,0.35695329308509827,4.74483060836792,3.510385036468506,3.309363842010498,0.9487,,
23,35,3440,-36.918063534515575,0.28137433528900146,4.942955493927002,3.680694818496704,3.427410364151001,0.9484,,
