update,episode,total_steps,train_team_return,td_loss,total_loss,qtot_l2_loss,grad_norm,q_tot_mean,q_tot_std,q_tot_max,target_q_tot_mean,target_q_tot_std,target_q_tot_max,epsilon,eval_team_return,eval_mean_agent_return
1,4,200,-67.57848826104255,19.341636657714844,19.341636657714844,79.50045013427734,93.56940460205078,-3.415346145629883,8.236252784729004,27.269926071166992,16.42629051208496,9.015719413757324,38.79483413696289,0.94,,
2,5,210,-11.229343561678137,17.11098289489746,17.11098289489746,97.04255676269531,89.04951477050781,-1.7714629173278809,9.69043254852295,26.097089767456055,15.819768905639648,9.767931938171387,38.79828643798828,0.9369999999999999,,
3,5,220,-22.72508867436242,18.904399871826172,18.904399871826172,88.83761596679688,92.68675994873047,0.4232228696346283,9.415863990783691,27.89218521118164,19.778865814208984,10.236547470092773,39.86807632446289,0.9339999999999999,,
4,5,230,-35.26659268214178,17.0782413482666,17.0782413482666,98.50216674804688,86.790771484375,1.0948561429977417,9.864251136779785,32.3316764831543,17.638843536376953,8.285056114196777,33.087913513183594,0.931,,
5,5,240,-44.94266213789322,15.531428337097168,15.531428337097168,98.07173156738281,78.67428588867188,3.007896900177002,9.43526840209961,32.3032341003418,18.879003524780273,7.564268589019775,38.840511322021484,0.9279999999999999,,
6,5,250,-53.857910491038446,13.875737190246582,13.875737190246582,96.80517578125,74.24423217773438,3.7758500576019287,9.085599899291992,33.29636764526367,17.68684959411621,7.882260799407959,36.081687927246094,0.925,,
7,6,260,-9.425919088942623,15.175957679748535,15.175957679748535,101.37211608886719,84.9424057006836,3.501451253890991,9.439912796020508,31.008953094482422,18.958646774291992,9.209983825683594,39.9429931640625,0.922,,
8,6,270,-16.91079402765149,13.377687454223633,13.377687454223633,88.50407409667969,83.43932342529297,3.8863701820373535,8.567391395568848,35.75911331176758,16.644880294799805,7.62702751159668,39.71916198730469,0.919,,
9,6,280,-25.66675534268492,12.973918914794922,12.973918914794922,107.62539672851562,88.08318328857422,5.001133918762207,9.089227676391602,33.710784912109375,18.28555679321289,8.824907302856445,38.9367790222168,0.916,,
10,6,290,-35.15394841770002,11.163324356079102,11.163324356079102,121.57474517822266,81.40850830078125,6.194103240966797,9.121831893920898,37.24964904785156,17.567161560058594,7.746926307678223,36.928863525390625,0.913,,
11,6,300,-46.822451332466756,13.046358108520508,13.046358108520508,114.16608428955078,86.5109634399414,4.055795192718506,9.885171890258789,38.2410774230957,16.764842987060547,8.887208938598633,39.00479507446289,0.91,,
12,7,310,-11.90282838831776,11.192642211914062,11.192642211914062,130.43275451660156,75.58567810058594,6.774317741394043,9.1946382522583,39.15290069580078,17.172937393188477,7.917910099029541,39.85186767578125,0.907,,
13,7,320,-20.739945727655883,9.959491729736328,9.959491729736328,201.0515899658203,79.80490112304688,9.987936973571777,10.064427375793457,40.0460319519043,19.73286247253418,8.346345901489258,39.89149856567383,0.904,,
14,7,330,-30.239018230995256,10.24129581451416,10.24129581451416,162.53065490722656,63.1688346862793,7.906703472137451,10.00073528289795,39.175262451171875,17.01155662536621,7.5893354415893555,36.33869552612305,0.901,,
15,7,340,-39.68165836280568,9.576629638671875,9.576629638671875,125.70024871826172,74.40453338623047,8.467666625976562,7.348392009735107,35.88201904296875,17.38857078552246,8.351938247680664,38.17624282836914,0.898,,
16,7,350,-46.02797847807829,10.594260215759277,10.594260215759277,264.47137451171875,63.72053146362305,12.145844459533691,10.81433391571045,42.466182708740234,19.555578231811523,8.931503295898438,40.02418518066406,0.895,,
17,8,360,-12.39467056539706,8.13935375213623,8.13935375213623,268.33636474609375,47.49116134643555,12.698118209838867,10.348633766174316,43.135746002197266,17.397541046142578,7.991031646728516,34.98272705078125,0.892,,
18,8,370,-26.641805200464628,8.06277084350586,8.06277084350586,278.4472961425781,55.03892517089844,11.8262300491333,11.772322654724121,43.85620880126953,17.15475082397461,8.092911720275879,40.1204948425293,0.889,,
19,8,380,-41.14826532211373,7.234659671783447,7.234659671783447,298.3818664550781,53.557106018066406,14.104949951171875,9.971572875976562,44.7740478515625,20.405319213867188,7.643685340881348,40.426944732666016,0.886,,
20,8,390,-54.36291032721994,6.921517372131348,6.921517372131348,275.2657165527344,62.89445495605469,13.674644470214844,9.395200729370117,45.34070587158203,19.185997009277344,8.506864547729492,40.2231559753418,0.883,,
21,8,400,-68.96923116564592,8.229981422424316,8.229981422424316,259.21295166015625,54.59188461303711,12.651955604553223,9.956955909729004,44.33235549926758,17.523971557617188,8.782929420471191,39.480587005615234,0.88,,
22,9,410,-17.12023379355788,6.742417812347412,6.742417812347412,297.498046875,44.90046310424805,14.098175048828125,9.936774253845215,35.239810943603516,17.489727020263672,7.443580150604248,39.519378662109375,0.877,,
23,9,420,-28.726335832534144,7.3769354820251465,7.3769354820251465,380.6852111816406,47.07417297363281,16.05663299560547,11.084660530090332,45.73598098754883,18.41874885559082,7.979612827301025,37.52449035644531,0.874,,
24,9,430,-40.624788566269885,5.475068092346191,5.475068092346191,316.2147521972656,39.102561950683594,15.412118911743164,8.870251655578613,41.85969161987305,17.90553092956543,8.402567863464355,35.36669158935547,0.871,,
25,9,440,-56.52014980976562,7.095523357391357,7.095523357391357,336.90087890625,42.29166030883789,15.003252029418945,10.573709487915039,45.7105712890625,17.853918075561523,8.156482696533203,39.3477783203125,0.868,,
26,9,450,-77.31561615668485,6.292389392852783,6.292389392852783,382.2265930175781,53.75861740112305,16.778663635253906,10.035089492797852,43.195804595947266,20.18073272705078,7.5020365715026855,39.7389030456543,0.865,,
27,10,460,-13.449431313967619,5.785941123962402,5.785941123962402,439.6991882324219,44.18840789794922,19.015342712402344,8.838321685791016,43.16288375854492,19.41116714477539,8.089754104614258,40.8624153137207,0.862,,
28,10,470,-26.52144054614527,6.155993461608887,6.155993461608887,395.533935546875,47.24809265136719,17.94321060180664,8.577596664428711,42.68816375732422,19.017642974853516,7.023440837860107,31.338459014892578,0.859,,
29,10,480,-44.73557363803496,6.128302574157715,6.128302574157715,351.98785400390625,45.461669921875,16.73418617248535,8.482621192932129,46.678680419921875,17.588787078857422,6.257488250732422,30.63614845275879,0.856,,
