update,episode,total_steps,train_team_return,td_loss,grad_norm,q_tot_mean,q_tot_std,q_tot_max,target_q_tot_mean,target_q_tot_std,target_q_tot_max,epsilon,eval_team_return,eval_mean_agent_return
14,7,330,-30.239018230995256,9.559900283813477,55.766578674316406,8.88010311126709,8.043603897094727,29.609336853027344,17.32451057434082,6.315484523773193,32.659950256347656,0.901,,
15,7,340,-39.68165836280568,10.854547500610352,63.15811538696289,8.619600296020508,9.715766906738281,38.90608215332031,18.177053451538086,6.121592998504639,32.26365280151367,0.898,,
16,7,350,-46.02797847807829,10.890670776367188,65.34757232666016,10.450027465820312,8.618393898010254,28.936866760253906,19.23476219177246,7.356379508972168,33.613548278808594,0.895,,
17,8,360,-12.39467056539706,8.410494804382324,57.03755187988281,11.324736595153809,8.545035362243652,25.36185646057129,17.50035858154297,7.174691200256348,33.05568313598633,0.892,,
18,8,370,-26.627141974456965,7.980228900909424,45.80130386352539,12.926841735839844,10.550222396850586,40.656227111816406,17.578149795532227,6.343679428100586,33.18536376953125,0.889,,
19,8,380,-41.855342318397526,7.511566162109375,58.47085189819336,13.422511100769043,7.972005367279053,31.427629470825195,20.090961456298828,6.396990776062012,33.75749206542969,0.886,,
20,8,390,-55.87640966703235,6.166744232177734,50.33723449707031,14.73002815246582,9.261752128601074,32.44047164916992,19.494760513305664,6.9426116943359375,33.8093376159668,0.883,,
21,8,400,-71.43806853839197,8.846384048461914,53.2947883605957,11.078720092773438,8.520092964172363,26.497621536254883,17.59854507446289,6.931015491485596,30.927356719970703,0.88,,
22,9,410,-17.12023379355788,7.50039529800415,46.54587936401367,13.392852783203125,9.368619918823242,34.2658576965332,17.981287002563477,5.643355846405029,32.53004455566406,0.877,,
23,9,420,-28.726335832534144,7.2141032218933105,43.71213912963867,15.630424499511719,9.612117767333984,36.98800277709961,18.898067474365234,7.054788112640381,33.049156188964844,0.874,,
24,9,430,-40.624788566269885,7.124685287475586,48.79970932006836,14.09251594543457,9.323463439941406,36.779945373535156,18.727615356445312,7.128382205963135,34.03496170043945,0.871,,
25,9,440,-56.50358343024547,6.137593746185303,45.71196365356445,14.942273139953613,7.54401159286499,29.6785945892334,18.26018524169922,6.802340030670166,33.257667541503906,0.868,,
26,9,450,-76.82512196030089,6.774932861328125,51.89381408691406,16.58841323852539,8.48318099975586,32.88325119018555,20.546504974365234,5.771646499633789,33.56647491455078,0.865,,
27,10,460,-13.449431313967619,6.082559585571289,37.492305755615234,17.50954818725586,8.6803617477417,45.19990158081055,19.282039642333984,6.80269193649292,33.38945388793945,0.862,,
28,10,470,-26.52144054614527,5.2877607345581055,38.650146484375,17.190303802490234,8.043699264526367,34.95854568481445,18.96501922607422,6.253820896148682,31.168420791625977,0.859,,
29,10,480,-45.405750912408784,5.623872756958008,39.91535186767578,15.987042427062988,7.584892272949219,38.27327346801758,17.829421997070312,5.824167728424072,30.284469604492188,0.856,,
30,10,490,-62.63607771358519,5.022170543670654,44.40742492675781,16.73816680908203,7.507387638092041,32.430015563964844,18.315767288208008,6.074258327484131,31.292491912841797,0.853,,
31,10,500,-83.14719513910418,5.695712089538574,53.52541732788086,14.977124214172363,7.237152576446533,31.624431610107422,17.659996032714844,5.445838451385498,31.041349411010742,0.85,-96.90563400853497,-96.90563400853497
32,11,510,-13.858633963251975,4.078742504119873,35.534725189208984,19.34529685974121,7.570026874542236,34.62665557861328,19.366268157958984,6.310181140899658,33.96726608276367,0.847,,
