update,episode,total_steps,train_team_return,td_loss,total_loss,grad_norm,q_tot_mean,q_tot_std,q_tot_max,target_q_tot_mean,target_q_tot_std,target_q_tot_max,epsilon,eval_team_return,eval_mean_agent_return
1,2,50,-25.526727110710564,0.10645940899848938,0.10645940899848938,1.074434518814087,0.05848602294921875,0.21284067630767822,0.4529404044151306,0.5554204559326172,0.06279648840427399,0.674909234046936,0.955,,
2,3,75,-18.55116493644013,0.11882229149341583,0.11882229149341583,1.182765007019043,0.12255545616149903,0.22102032601833344,0.5901459455490112,0.640716552734375,0.06136265769600868,0.7256311178207397,0.9325,,
3,4,100,-22.522079019423046,0.1421622335910797,0.1421622335910797,1.167016863822937,0.11665129661560059,0.23867198824882507,0.8769243955612183,0.6848426055908203,0.15679815411567688,0.9521542191505432,0.91,,
4,5,125,-34.33201538729857,0.1452721208333969,0.1452721208333969,1.228076696395874,0.15402856826782227,0.2391199916601181,0.8870539665222168,0.7275910949707032,0.12367993593215942,0.9522976875305176,0.8875,-53.35837456679006,-53.35837456679005
