update,episode,total_steps,train_team_return,td_loss,total_loss,grad_norm,q_tot_mean,q_tot_std,q_tot_max,target_q_tot_mean,target_q_tot_std,target_q_tot_max,epsilon,action_entropy_mean,used_action_count_min,max_action_ratio_max,top2_action_ratio_max,eval_team_return,eval_mean_agent_return
1,2,50,-28.828474135484143,0.09263095259666443,0.09263095259666443,0.9197591543197632,0.012569615840911865,0.22993531823158264,0.4222961366176605,0.45717079162597657,0.0428573340177536,0.5243473052978516,0.955,,,,,,
2,3,75,-15.88130532681878,0.10839524120092392,0.10839524120092392,1.0498939752578735,0.06553742408752442,0.21698525547981262,0.601012110710144,0.5374280166625977,0.04931091517210007,0.6308725476264954,0.9325,,,,,,
3,4,100,-22.8878031920434,0.11407984048128128,0.11407984048128128,1.0222877264022827,0.05391790390014648,0.22516141831874847,0.6128709316253662,0.5505120086669922,0.11206834763288498,0.7821819186210632,0.91,,,,,,
4,5,125,-30.29504643892438,0.11955664306879044,0.11955664306879044,1.10450279712677,0.08531458854675293,0.21790090203285217,0.6214649081230164,0.5907381439208984,0.08356402069330215,0.7822884321212769,0.8875,0.9794042880919477,3,0.54,0.9,-33.137611555784574,-33.137611555784574
