episode,total_steps,adversary_team_return,prey_return,adversary_0_return,adversary_1_return,adversary_2_return,agent_0_return,train_touch_count,mean_critic_loss,mean_actor_loss,mean_actor_entropy,epsilon,eval_self_play_adversary_return,eval_self_play_prey_return,eval_adv_vs_random_prey_adversary_return,eval_adv_vs_random_prey_prey_return,eval_random_adv_vs_prey_adversary_return,eval_random_adv_vs_prey_prey_return,eval_self_play_touch_count,eval_adv_vs_random_prey_touch_count,eval_random_adv_vs_prey_touch_count
1,50,0.0,-48.653388223495504,0.0,0.0,0.0,-48.653388223495504,0.0,,,,1.0,,,,,,,,,
2,100,0.0,-24.680383482175042,0.0,0.0,0.0,-24.680383482175042,0.0,,,,1.0,,,,,,,,,
3,150,210.0,-84.76305909343034,70.0,70.0,70.0,-84.76305909343034,21.0,,,,1.0,,,,,,,,,
4,200,0.0,-62.27883963666446,0.0,0.0,0.0,-62.27883963666446,0.0,,,,1.0,,,,,,,,,
5,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,20.0,-215.71973591473952,0.0,-55.740149737816665,20.0,-275.72908780680785,2.0,0.0,2.0
6,300,0.0,-9.549231002059122,0.0,0.0,0.0,-9.549231002059122,0.0,,,,1.0,,,,,,,,,
7,350,0.0,-18.83657217580913,0.0,0.0,0.0,-18.83657217580913,0.0,,,,1.0,,,,,,,,,
8,400,90.0,-30.0,30.0,30.0,30.0,-30.0,9.0,,,,1.0,,,,,,,,,
9,450,0.0,-42.59586310229941,0.0,0.0,0.0,-42.59586310229941,0.0,,,,1.0,,,,,,,,,
10,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,-236.22065711951214,20.0,-125.78293505083502,0.0,-327.4480837871681,0.0,2.0,0.0
11,550,0.0,-67.115898911002,0.0,0.0,0.0,-67.115898911002,0.0,,,,1.0,,,,,,,,,
12,600,0.0,-59.84404611839343,0.0,0.0,0.0,-59.84404611839343,0.0,,,,1.0,,,,,,,,,
13,650,0.0,-126.39269306244219,0.0,0.0,0.0,-126.39269306244219,0.0,,,,1.0,,,,,,,,,
14,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,
15,750,0.0,-11.75886610187754,0.0,0.0,0.0,-11.75886610187754,0.0,,,,1.0,20.0,-194.5195641502904,0.0,-22.816939098297507,30.0,-299.4855363782931,2.0,0.0,3.0
16,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2175840901763877,-0.019449114333838224,1.6057343184947968,0.97,,,,,,,,,
17,850,0.0,-1.4300887096275006,0.0,0.0,0.0,-1.4300887096275006,0.0,,,,0.97,,,,,,,,,
18,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17049053724622354,0.03635372733697295,1.6061824560165405,0.94,,,,,,,,,
19,950,0.0,-10.733306398105192,0.0,0.0,0.0,-10.733306398105192,0.0,0.10732951085083187,0.0469122922513634,1.6061506271362305,0.91,,,,,,,,,
20,1000,0.0,-305.92230417518374,0.0,0.0,0.0,-305.92230417518374,0.0,,,,0.91,30.0,-305.855665084922,80.0,-47.22322343678578,10.0,-317.759344843334,3.0,8.0,1.0
21,1050,0.0,-31.619959348631514,0.0,0.0,0.0,-31.619959348631514,0.0,,,,0.91,,,,,,,,,
22,1100,90.0,-39.41415873364103,30.0,30.0,30.0,-39.41415873364103,9.0,,,,0.91,,,,,,,,,
23,1150,0.0,-74.61498825979508,0.0,0.0,0.0,-74.61498825979508,0.0,6.507704734802246,-0.010415093507617712,1.6063697934150696,0.88,,,,,,,,,
24,1200,0.0,-8.640313941162518,0.0,0.0,0.0,-8.640313941162518,0.0,5.698851823806763,-0.027628563344478607,1.6064447462558746,0.85,,,,,,,,,
25,1250,0.0,-48.92740042471803,0.0,0.0,0.0,-48.92740042471803,0.0,,,,0.85,0.0,-208.79491150547975,50.0,-60.71240211566905,0.0,-134.64730954669614,0.0,5.0,0.0
26,1300,0.0,-20.989179990032195,0.0,0.0,0.0,-20.989179990032195,0.0,0.9930750727653503,-0.07043614611029625,1.605682611465454,0.82,,,,,,,,,
27,1350,60.0,-271.07985035092673,20.0,20.0,20.0,-271.07985035092673,6.0,4.369918376207352,-0.03715985640883446,1.606188714504242,0.79,,,,,,,,,
28,1400,0.0,-6.187304610785683,0.0,0.0,0.0,-6.187304610785683,0.0,1.7433413565158844,-0.04779111687093973,1.6054414808750153,0.76,,,,,,,,,
29,1450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10874832740228157,0.09013641998171806,1.606117695569992,0.73,,,,,,,,,
30,1500,0.0,-30.82962260207021,0.0,0.0,0.0,-30.82962260207021,0.0,0.11919134669005871,0.08645108807832003,1.6060801148414612,0.7,0.0,-350.5204146613057,0.0,-85.87444290416396,0.0,-322.29540180200956,0.0,0.0,0.0
