update,episode,total_steps,train_team_return,td_loss,total_loss,grad_norm,q_tot_mean,q_tot_std,q_tot_max,target_q_tot_mean,target_q_tot_std,target_q_tot_max,epsilon,eval_team_return,eval_mean_agent_return
1,4,200,-56.45715429242653,16.5059871673584,16.5059871673584,67.90609741210938,7.386451416015625,8.03326416015625,31.20548439025879,25.962548828125,6.809581279754639,47.31208038330078,0.94,,
2,5,250,-60.62580224436927,16.0831241607666,16.0831241607666,67.11260223388672,7.8663873291015625,8.085101127624512,31.977968215942383,25.96521484375,6.810212135314941,47.31629943847656,0.925,,
3,6,300,-52.5148089792231,16.533000946044922,16.533000946044922,72.90963745117188,10.132139282226563,8.471882820129395,36.051002502441406,28.92732666015625,9.918675422668457,47.99087905883789,0.91,,
4,7,350,-74.76224639845903,17.103134155273438,17.103134155273438,69.30926513671875,8.229634399414062,8.509528160095215,36.66448211669922,27.45253173828125,11.609872817993164,48.00135803222656,0.895,,
5,8,400,-74.63383189978342,15.122824668884277,15.122824668884277,67.87380981445312,8.33580078125,8.01215648651123,37.30373764038086,25.22322509765625,10.169744491577148,48.01591110229492,0.88,,
6,9,450,-70.93936971406808,16.576772689819336,16.576772689819336,75.27520751953125,12.0108203125,9.551118850708008,37.9302864074707,30.58151611328125,9.502984046936035,48.03443145751953,0.865,,
7,10,500,-85.31186472578679,15.457564353942871,15.457564353942871,67.86905670166016,13.35916015625,9.405599594116211,40.58503723144531,30.5766259765625,8.697013854980469,49.24958419799805,0.85,-296.17292465475805,-296.17292465475805
8,11,550,-121.24983369721878,14.729808807373047,14.729808807373047,71.41584014892578,12.796920166015624,10.365464210510254,41.281654357910156,28.94688232421875,10.761503219604492,49.27666091918945,0.835,,
9,12,600,-48.97520324827255,13.503353118896484,13.503353118896484,65.0766372680664,11.8105078125,9.171128273010254,42.07742691040039,26.75161865234375,10.335891723632812,49.30803680419922,0.82,,
10,13,650,-63.35267422735019,13.417886734008789,13.417886734008789,67.53099060058594,9.855118408203126,11.546252250671387,58.85099411010742,24.60521240234375,11.764230728149414,53.847412109375,0.8049999999999999,,
11,14,700,-70.38461452094411,20.992938995361328,20.992938995361328,80.20177459716797,12.609385986328125,13.964027404785156,66.86515808105469,35.35213134765625,11.24462604522705,58.05941390991211,0.79,,
12,15,750,-68.8454497885376,14.44153118133545,14.44153118133545,61.58441925048828,10.84345703125,11.88502311706543,55.60554504394531,26.5753759765625,10.263744354248047,48.58134841918945,0.775,,
13,16,800,-48.292927054766814,12.416979789733887,12.416979789733887,62.179080963134766,13.5792626953125,9.659642219543457,45.27268600463867,27.168486328125,10.300477027893066,49.47565841674805,0.76,,
14,17,850,-77.54228667708807,14.679184913635254,14.679184913635254,60.73675537109375,13.7784130859375,11.932649612426758,61.95376968383789,29.56888427734375,9.369196891784668,54.032814025878906,0.745,,
15,18,900,-95.9661648625063,16.366798400878906,16.366798400878906,62.814369201660156,17.9315283203125,14.539240837097168,71.3832778930664,34.96522705078125,12.403133392333984,61.215919494628906,0.73,,
16,19,950,-72.65682315803292,12.355827331542969,12.355827331542969,59.298030853271484,13.909755859375,8.750393867492676,43.30570602416992,27.08023193359375,9.149454116821289,48.41182327270508,0.7150000000000001,,
17,20,1000,-92.51611113657668,12.589692115783691,12.589692115783691,54.874454498291016,13.516683349609375,11.583600997924805,48.35118865966797,26.581337890625,9.439650535583496,49.70761489868164,0.7,-285.8132088462495,-285.8132088462495
18,21,1050,-110.25402073489151,11.03793716430664,11.03793716430664,49.792686462402344,19.941282958984374,13.038259506225586,64.07330322265625,30.47414794921875,10.597427368164062,58.79811096191406,0.685,,
19,22,1100,-76.0027646045167,10.053247451782227,10.053247451782227,55.87355422973633,11.4888916015625,8.406208038330078,37.56025314331055,21.917939453125,8.965518951416016,44.10879898071289,0.67,,
20,23,1150,-126.82994492839869,12.495648384094238,12.495648384094238,52.74161911010742,16.78162109375,10.836210250854492,45.62564468383789,29.187646484375,10.632699966430664,52.63531494140625,0.655,,
21,24,1200,-102.50180958477158,14.803610801696777,14.803610801696777,53.68175506591797,20.346107177734375,15.116201400756836,66.25030517578125,34.331865234375,12.075024604797363,59.077877044677734,0.6399999999999999,,
22,25,1250,-126.66382013105851,15.816384315490723,15.816384315490723,65.61124420166016,28.6149072265625,19.216630935668945,81.65431213378906,43.58439453125,14.736808776855469,68.4598617553711,0.625,,
23,26,1300,-126.59524794600328,14.4288330078125,14.4288330078125,58.53773880004883,19.058994140625,14.98584270477295,79.10064697265625,33.06197265625,11.647396087646484,59.046627044677734,0.61,,
24,27,1350,-155.0333784717806,13.311803817749023,13.311803817749023,53.70426940917969,27.0370849609375,20.413938522338867,91.2235107421875,38.453095703125,18.72303581237793,73.49137878417969,0.595,,
25,28,1400,-65.72929682109182,11.22005844116211,11.22005844116211,50.308876037597656,18.48039794921875,12.61497974395752,68.59811401367188,28.62305908203125,11.859659194946289,54.79023361206055,0.58,,
26,29,1450,-124.19939325419995,11.349196434020996,11.349196434020996,41.9485969543457,23.92023193359375,14.446563720703125,70.2719955444336,32.72349853515625,8.052894592285156,54.094940185546875,0.565,,
27,30,1500,-150.277703649961,12.747410774230957,12.747410774230957,49.66523361206055,20.1118505859375,16.084381103515625,81.84513092041016,31.41616943359375,13.060699462890625,59.49745178222656,0.55,-270.0590024406982,-270.0590024406982
