episode,total_steps,adversary_team_return,prey_return,adversary_0_return,adversary_1_return,adversary_2_return,agent_0_return,mean_critic_loss,mean_actor_loss,epsilon,eval_adversary_team_return,eval_prey_return
1,50,0.0,-82.0586839617859,0.0,0.0,0.0,-82.0586839617859,,,1.0,45.0,-418.6401251839592
2,100,90.0,-30.0,30.0,30.0,30.0,-30.0,5.157353758811951,0.0013013365678489208,0.99905,0.0,-341.3738490624996
3,150,0.0,-228.77109073604805,0.0,0.0,0.0,-228.77109073604805,4.958792055305094,0.017245392175391318,0.9943,30.0,-307.278399857017
4,200,0.0,-114.74762336534397,0.0,0.0,0.0,-114.74762336534397,3.9864482402801515,0.13570891928393394,0.98955,0.0,-360.5425317684046
5,250,0.0,-1.2265635984848833,0.0,0.0,0.0,-1.2265635984848833,1.0816228765062987,0.3594119860092178,0.9848,0.0,-373.111877626871
