update,episode,total_steps,train_team_return,td_loss,grad_norm,q_tot_mean,q_tot_std,q_tot_max,target_q_tot_mean,target_q_tot_std,target_q_tot_max,epsilon,eval_team_return,eval_mean_agent_return
1,4,200,-46.91723280953203,17.01714515686035,92.11016082763672,-4.410455226898193,7.994613170623779,20.241878509521484,13.106689453125,7.370824813842773,25.696861267089844,0.94,,
2,5,210,-11.229343561678137,15.013374328613281,83.77584075927734,-3.0656514167785645,7.808841228485107,18.147396087646484,12.447722434997559,7.624842166900635,25.700977325439453,0.9369999999999999,,
3,5,220,-22.72508867436242,15.354437828063965,88.17311096191406,-0.7083110213279724,8.138232231140137,17.228553771972656,15.12732219696045,7.895331382751465,28.910791397094727,0.9339999999999999,,
4,5,230,-35.26659268214178,12.737153053283691,70.76529693603516,1.58542001247406,8.536064147949219,20.015710830688477,14.10025405883789,7.772042751312256,28.195568084716797,0.931,,
5,5,240,-44.94266213789322,12.250723838806152,79.64913940429688,1.889678955078125,8.826726913452148,21.045297622680664,14.628311157226562,7.294749736785889,26.40901756286621,0.9279999999999999,,
6,5,250,-53.857910491038446,12.024957656860352,71.5997085571289,2.961700916290283,8.242548942565918,22.88799285888672,15.001270294189453,7.037106513977051,27.05843162536621,0.925,,
7,6,260,-9.425919088942623,11.521492004394531,75.7795181274414,4.495569229125977,8.011394500732422,20.002647399902344,16.080883026123047,8.070441246032715,29.00216293334961,0.922,,
8,6,270,-16.91079402765149,9.57157039642334,71.57807159423828,5.122607231140137,7.774895668029785,23.514877319335938,13.886273384094238,7.279483318328857,28.232423782348633,0.919,,
9,6,280,-25.66675534268492,11.471352577209473,68.11772155761719,2.5570485591888428,8.801355361938477,25.051921844482422,13.996341705322266,7.704440116882324,25.866893768310547,0.916,,
10,6,290,-35.15394841770002,8.136817932128906,61.03694534301758,7.006007194519043,8.328865051269531,19.152019500732422,14.404866218566895,6.949194431304932,25.535396575927734,0.913,,
11,6,300,-46.822451332466756,9.499303817749023,72.1819839477539,4.698398590087891,8.209355354309082,20.220905303955078,14.049629211425781,7.382331848144531,25.95969009399414,0.91,,
12,7,310,-11.90282838831776,8.914533615112305,56.24335861206055,6.479238510131836,8.090888023376465,26.816810607910156,14.414029121398926,6.817052841186523,27.477527618408203,0.907,,
13,7,320,-20.739945727655883,8.895790100097656,55.79231643676758,7.913895606994629,9.379447937011719,30.103120803833008,15.557442665100098,7.448107719421387,28.32036018371582,0.904,,
14,7,330,-30.239018230995256,8.672067642211914,52.81753158569336,7.148855209350586,9.170982360839844,31.275802612304688,14.059082984924316,7.707298755645752,25.753408432006836,0.901,,
15,7,340,-39.68165836280568,7.457359790802002,53.032081604003906,9.810380935668945,8.793158531188965,27.504547119140625,14.859014511108398,7.759666919708252,28.3641300201416,0.898,,
16,7,350,-46.02797847807829,8.517868041992188,46.39616012573242,10.11069393157959,8.441479682922363,32.994808197021484,16.075925827026367,8.30957317352295,29.84515380859375,0.895,,
17,8,360,-12.39467056539706,7.845450401306152,45.27096176147461,10.510754585266113,7.975425720214844,28.575233459472656,15.567848205566406,7.487436771392822,28.350757598876953,0.892,,
18,8,370,-26.641805200464628,7.357748985290527,54.52682876586914,10.190430641174316,8.444300651550293,30.29770278930664,15.105731010437012,7.165047645568848,27.90938377380371,0.889,,
19,8,380,-41.14826532211373,6.353786468505859,45.52155685424805,13.307421684265137,8.902605056762695,32.499427795410156,17.014291763305664,7.250226974487305,29.86351776123047,0.886,,
20,8,390,-54.36291032721994,5.910721302032471,48.02639389038086,13.63996696472168,8.675616264343262,32.103607177734375,17.193723678588867,6.967634677886963,29.93736457824707,0.883,,
21,8,400,-68.96923116564592,6.773861885070801,48.20624542236328,11.231987953186035,7.941988468170166,25.730762481689453,14.764744758605957,7.352955341339111,28.530702590942383,0.88,,
22,9,410,-17.12023379355788,6.144662857055664,42.72074890136719,12.730682373046875,8.545088768005371,32.6480712890625,15.322633743286133,7.123066425323486,27.423847198486328,0.877,,
23,9,420,-28.726335832534144,6.437509059906006,43.624839782714844,14.579676628112793,9.555874824523926,38.08138656616211,16.53312110900879,7.570016860961914,30.305429458618164,0.874,,
24,9,430,-40.624788566269885,5.8594441413879395,41.65776824951172,13.946836471557617,7.725822925567627,32.48263931274414,16.461990356445312,8.340556144714355,31.086048126220703,0.871,,
25,9,440,-56.50358343024547,6.431039333343506,41.07014465332031,14.534990310668945,8.431256294250488,39.12040710449219,16.1915340423584,7.036657333374023,30.32298469543457,0.868,,
26,9,450,-76.82512196030089,6.116756916046143,46.52373123168945,17.13877296447754,8.902897834777832,39.29017639160156,18.138259887695312,6.564425468444824,30.832473754882812,0.865,,
27,10,460,-13.449431313967619,5.610404014587402,38.50223922729492,17.004104614257812,7.595215797424316,39.22072982788086,17.329774856567383,6.715359210968018,30.486684799194336,0.862,,
28,10,470,-26.36942677725521,5.605326175689697,39.258941650390625,16.63674545288086,8.360806465148926,35.46023178100586,16.80188751220703,6.745860576629639,30.68331527709961,0.859,,
29,10,480,-44.27270552395042,4.855013847351074,40.567413330078125,15.89546012878418,7.60157585144043,39.74609375,16.045276641845703,6.0999836921691895,26.14927864074707,0.856,,
30,10,490,-59.724221488399756,4.95625638961792,37.441585540771484,15.987455368041992,7.594351291656494,33.43657684326172,16.816421508789062,6.860387802124023,31.160573959350586,0.853,,
31,10,500,-78.56393825253537,4.566964626312256,48.196022033691406,15.227095603942871,6.171924591064453,29.379682540893555,15.36812973022461,6.768608093261719,28.187292098999023,0.85,-99.49152380231726,-99.49152380231725
32,11,510,-13.858633963251975,3.990793466567993,35.13782501220703,18.688339233398438,7.695420742034912,33.28799057006836,17.809701919555664,6.64063024520874,31.325910568237305,0.847,,
33,11,520,-27.055609124333863,4.15850305557251,29.55262565612793,15.67097282409668,8.652645111083984,38.265193939208984,16.225902557373047,7.1372761726379395,31.00365447998047,0.844,,
34,11,530,-42.33797440708401,3.9727659225463867,35.19389724731445,16.598485946655273,6.581650257110596,31.401395797729492,15.864173889160156,6.617379665374756,29.514171600341797,0.841,,
