episode,steps,team_return
1,50,-40.708249311239264
2,50,-75.58890576795567
3,50,-26.646687949301526
4,50,-57.871498609624
5,50,-72.54626019416612
6,50,-68.39265994518209
7,50,-56.654385231548076
8,50,-73.14147605294403
9,50,-57.85119801472353
10,50,-65.85234661862921
11,50,-71.31747826899273
12,50,-86.26940729908209
13,50,-48.957047663092986
14,50,-51.637253809937675
15,50,-87.87465526098973
16,50,-58.3660048217768
17,50,-45.91342272684276
18,50,-81.03167694362635
19,50,-47.99460646188639
20,50,-53.153127225223095
21,50,-57.202607048528705
22,50,-45.20360059226064
23,50,-73.75504564368129
24,50,-121.78365345911317
25,50,-30.43270683380695
26,50,-108.20951300178002
27,50,-56.77789891771869
28,50,-43.341697545534544
29,50,-40.854004717845754
30,50,-69.34225194371612
31,50,-50.904165737566366
32,50,-54.1155921653909
33,50,-45.97662329047636
34,50,-75.97690316657871
35,50,-42.397612728404745
36,50,-50.505853605041075
37,50,-53.87200973204144
38,50,-44.59087602692815
39,50,-65.04922632195016
40,50,-55.17121180884337
41,50,-55.45196507231571
42,50,-68.90248988799388
43,50,-70.86981113592707
44,50,-31.229527628666244
45,50,-55.42539402375938
46,50,-40.57642824813145
47,50,-46.355016913183434
48,50,-82.47763017872009
49,50,-55.78835870571509
50,50,-54.45739988382513
51,50,-46.83855042716524
52,50,-74.80078298381991
53,50,-87.15349421031232
54,50,-45.89914549317759
55,50,-75.34264419588814
56,50,-67.72571826025916
57,50,-57.110619431428425
58,50,-49.651567061627624
59,50,-67.49258497804534
60,50,-78.22608924002388
61,50,-56.472124204311456
62,50,-47.79633431217582
63,50,-45.27875725147768
64,50,-67.88458440336392
65,50,-43.73679498601209
66,50,-49.60714286976565
67,50,-52.688587593469364
68,50,-34.75739851773658
69,50,-56.67355215223816
70,50,-72.79271596543188
71,50,-63.209242464849375
72,50,-62.18178349593573
73,50,-56.8297085450429
74,50,-51.897299029003456
75,50,-55.09008871961174
76,50,-53.11781127374379
77,50,-52.39923305450162
78,50,-50.921556834683464
79,50,-50.633145808847644
80,50,-42.00349443153061
81,50,-72.28261872265138
82,50,-42.817744753154706
83,50,-61.62882109635492
84,50,-43.4560596843397
85,50,-85.4932893778597
86,50,-62.802971590252106
87,50,-50.87413827149504
88,50,-46.954623195759616
89,50,-57.02921148475963
90,50,-58.37489268442819
91,50,-32.294038228526766
92,50,-50.396457584366836
93,50,-77.29917168946342
94,50,-46.068501523265375
95,50,-52.814864569443415
96,50,-58.388948871864294
97,50,-89.59502523360727
98,50,-40.68711738871407
99,50,-53.869798072321046
100,50,-33.10784651391737
