episode,steps,team_return
1,50,-51.33995398246356
2,50,-52.84283990689123
3,50,-39.80078646601483
4,50,-72.90728144031624
5,50,-66.82286817806875
6,50,-54.957280590987175
7,50,-65.52781701114095
8,50,-85.54186589840764
9,50,-105.90650565494397
10,50,-90.41944638362244
11,50,-65.95448782963683
12,50,-59.16517524623624
13,50,-52.65839863326434
14,50,-43.89244836979902
15,50,-67.98404262160484
16,50,-56.89225530872942
17,50,-39.843929880433855
18,50,-70.02000307375104
19,50,-79.15768001498354
20,50,-61.52365602649588
21,50,-56.26659231228856
22,50,-33.00037727457828
23,50,-36.290278773320395
24,50,-81.90620220462202
25,50,-43.43577233524653
26,50,-68.25395957892188
27,50,-56.496363024797034
28,50,-61.16784123303025
29,50,-61.84561280441791
30,50,-77.05071381012077
