episode,steps,team_return
1,100,-102.81202515060578
2,100,-115.45751962957212
3,100,-68.40741035792115
4,100,-114.71138428979401
5,100,-104.81173296666516
6,100,-194.1529811548899
7,100,-112.44567871122473
8,100,-148.51183954013885
9,100,-188.4059410641796
10,100,-113.0822647192854
11,100,-227.3690582872941
12,100,-141.78102771142005
13,100,-133.01709816311458
14,100,-150.7519360566593
15,100,-143.7384809808679
16,100,-100.40408457341799
17,100,-101.7128284975109
18,100,-133.08693802772135
19,100,-138.12386732928476
20,100,-115.1987464941824
21,100,-128.07772416802254
22,100,-112.0167780343402
23,100,-89.1473902978445
24,100,-179.21782588032235
25,100,-121.94125510072524
26,100,-109.85518808282984
27,100,-190.63136305907634
28,100,-125.03528419713031
29,100,-165.8555170141522
30,100,-124.17833653951084
31,100,-185.60581020571115
32,100,-102.53745447040093
33,100,-154.67593662273453
34,100,-126.89919920037885
35,100,-130.0549824329405
36,100,-134.67096343451365
37,100,-155.54175728367593
38,100,-115.40648151006188
39,100,-233.1859209115995
40,100,-101.74643377300707
41,100,-116.65389617438449
42,100,-106.80495205583844
43,100,-169.26549932518594
44,100,-162.31722457744465
45,100,-162.01759538141292
46,100,-77.24959319330276
47,100,-204.98047866954494
48,100,-133.86098252348864
49,100,-189.32668936869806
50,100,-162.7399632003192
51,100,-128.1010915578953
52,100,-123.69826599767185
53,100,-158.95251816064837
54,100,-99.68685360328915
55,100,-170.42899647180764
56,100,-181.55241307693768
57,100,-119.43939736000209
58,100,-143.64266123341986
59,100,-144.53894269801475
60,100,-106.66915687280618
61,100,-100.98659579697627
62,100,-118.8730532901671
63,100,-121.35526655749683
64,100,-269.7239249831103
65,100,-114.84947995780703
66,100,-221.16054423915375
67,100,-112.96259478423627
68,100,-107.90670698005573
69,100,-135.68813428562956
70,100,-85.05508898853067
71,100,-160.0673798752127
72,100,-116.9661728247984
73,100,-156.74236032708214
74,100,-148.19992389978015
75,100,-115.69234178851578
76,100,-108.0488688977159
77,100,-117.88799079173846
78,100,-116.49931611957146
79,100,-96.0197203521779
80,100,-116.99333429143711
81,100,-207.3359248375748
82,100,-84.06314085917326
83,100,-148.54859390664308
84,100,-120.95327151281316
85,100,-105.78628253788133
86,100,-113.80393406017276
87,100,-131.99734914388807
88,100,-112.23712304876808
89,100,-136.94310657247362
90,100,-128.05129138203228
91,100,-143.81998076704087
92,100,-102.17939023878908
93,100,-92.74372277841978
94,100,-93.51062036210668
95,100,-190.55833608051037
96,100,-131.90336991514584
97,100,-167.489238140901
98,100,-92.79728535055197
99,100,-128.87143844485706
100,100,-126.31410548952071
