episode,total_steps,adversary_team_return,prey_return,adversary_0_return,adversary_1_return,adversary_2_return,agent_0_return,train_touch_count,mean_critic_loss,mean_actor_loss,mean_actor_entropy,epsilon,eval_self_play_adversary_return,eval_self_play_prey_return,eval_adv_vs_random_prey_adversary_return,eval_adv_vs_random_prey_prey_return,eval_random_adv_vs_prey_adversary_return,eval_random_adv_vs_prey_prey_return,eval_self_play_touch_count,eval_adv_vs_random_prey_touch_count,eval_random_adv_vs_prey_touch_count
1,100,0.0,-202.15532061078932,0.0,0.0,0.0,-202.15532061078932,0.0,,,,1.0,,,,,,,,,
2,200,90.0,-312.5607787134819,30.0,30.0,30.0,-312.5607787134819,9.0,,,,1.0,,,,,,,,,
3,300,90.0,-129.12001806461816,30.0,30.0,30.0,-129.12001806461816,9.0,,,,1.0,,,,,,,,,
4,400,0.0,-97.35058116558449,0.0,0.0,0.0,-97.35058116558449,0.0,,,,1.0,,,,,,,,,
5,500,60.0,-221.73231078173433,20.0,20.0,20.0,-221.73231078173433,6.0,,,,1.0,,,,,,,,,
6,600,0.0,-275.64436195147806,0.0,0.0,0.0,-275.64436195147806,0.0,,,,1.0,,,,,,,,,
7,700,0.0,-241.8258945773254,0.0,0.0,0.0,-241.8258945773254,0.0,,,,1.0,,,,,,,,,
8,800,0.0,-1023.1683274935916,0.0,0.0,0.0,-1023.1683274935916,0.0,,,,1.0,,,,,,,,,
9,900,0.0,-39.79615541923375,0.0,0.0,0.0,-39.79615541923375,0.0,,,,1.0,,,,,,,,,
10,1000,60.0,-99.75317847927829,20.0,20.0,20.0,-99.75317847927829,6.0,,,,1.0,,,,,,,,,
11,1100,0.0,-518.5247855698149,0.0,0.0,0.0,-518.5247855698149,0.0,,,,1.0,,,,,,,,,
12,1200,90.0,-99.47533095306356,30.0,30.0,30.0,-99.47533095306356,9.0,,,,1.0,,,,,,,,,
13,1300,150.0,-89.80970351742852,50.0,50.0,50.0,-89.80970351742852,15.0,,,,1.0,,,,,,,,,
14,1400,0.0,-286.39468049937557,0.0,0.0,0.0,-286.39468049937557,0.0,,,,1.0,,,,,,,,,
15,1500,0.0,-31.650601146650047,0.0,0.0,0.0,-31.650601146650047,0.0,,,,1.0,,,,,,,,,
16,1600,0.0,-18.462233548755062,0.0,0.0,0.0,-18.462233548755062,0.0,,,,1.0,,,,,,,,,
17,1700,30.0,-10.0,10.0,10.0,10.0,-10.0,3.0,,,,1.0,,,,,,,,,
18,1800,0.0,-153.89901063938373,0.0,0.0,0.0,-153.89901063938373,0.0,,,,1.0,,,,,,,,,
19,1900,0.0,-234.147711979234,0.0,0.0,0.0,-234.147711979234,0.0,,,,1.0,,,,,,,,,
20,2000,0.0,-274.6608623804271,0.0,0.0,0.0,-274.6608623804271,0.0,,,,1.0,,,,,,,,,
21,2100,0.0,-487.1580804421377,0.0,0.0,0.0,-487.1580804421377,0.0,,,,1.0,,,,,,,,,
22,2200,0.0,-127.44062227543134,0.0,0.0,0.0,-127.44062227543134,0.0,,,,1.0,,,,,,,,,
23,2300,0.0,-755.4986910188402,0.0,0.0,0.0,-755.4986910188402,0.0,,,,1.0,,,,,,,,,
24,2400,0.0,-156.59794178017748,0.0,0.0,0.0,-156.59794178017748,0.0,,,,1.0,,,,,,,,,
25,2500,0.0,-305.64261634632373,0.0,0.0,0.0,-305.64261634632373,0.0,,,,1.0,,,,,,,,,
26,2600,120.0,-374.57659994666943,40.0,40.0,40.0,-374.57659994666943,12.0,,,,1.0,,,,,,,,,
27,2700,0.0,-138.47294069145792,0.0,0.0,0.0,-138.47294069145792,0.0,,,,1.0,,,,,,,,,
28,2800,0.0,-8.217797433847952,0.0,0.0,0.0,-8.217797433847952,0.0,,,,1.0,,,,,,,,,
29,2900,0.0,-13.804171547332434,0.0,0.0,0.0,-13.804171547332434,0.0,,,,1.0,,,,,,,,,
30,3000,0.0,-288.1357272835893,0.0,0.0,0.0,-288.1357272835893,0.0,,,,1.0,,,,,,,,,
31,3100,0.0,-30.778818992444734,0.0,0.0,0.0,-30.778818992444734,0.0,,,,1.0,,,,,,,,,
32,3200,90.0,-30.0,30.0,30.0,30.0,-30.0,9.0,,,,1.0,,,,,,,,,
33,3300,0.0,-60.86069129645006,0.0,0.0,0.0,-60.86069129645006,0.0,,,,1.0,,,,,,,,,
34,3400,0.0,-76.916316466727,0.0,0.0,0.0,-76.916316466727,0.0,4.007847845554352,-0.012523876270279288,1.6047011017799377,0.998875,,,,,,,,,
35,3500,0.0,-353.0927267945075,0.0,0.0,0.0,-353.0927267945075,0.0,,,,0.998875,,,,,,,,,
36,3600,0.0,-604.6613725646603,0.0,0.0,0.0,-604.6613725646603,0.0,4.3679221868515015,-0.0862094140611589,1.6046398282051086,0.99775,,,,,,,,,
37,3700,0.0,-84.42868537568695,0.0,0.0,0.0,-84.42868537568695,0.0,4.114517867565155,-0.02362384833395481,1.6039444208145142,0.996625,,,,,,,,,
38,3800,90.0,-438.1161540582229,30.0,30.0,30.0,-438.1161540582229,9.0,3.902717247605324,-0.053956194780766964,1.604284793138504,0.9955,,,,,,,,,
39,3900,0.0,-25.944908654939574,0.0,0.0,0.0,-25.944908654939574,0.0,2.8792006969451904,0.01675607170909643,1.604277491569519,0.994375,,,,,,,,,
40,4000,120.0,-40.0,40.0,40.0,40.0,-40.0,12.0,,,,0.994375,,,,,,,,,
41,4100,0.0,-381.2313553253099,0.0,0.0,0.0,-381.2313553253099,0.0,3.877450704574585,0.05788715183734894,1.6021640002727509,0.99325,,,,,,,,,
42,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.771956205368042,0.10553736193105578,1.6004580557346344,0.992125,,,,,,,,,
43,4300,180.0,-92.10588284924505,60.0,60.0,60.0,-92.10588284924505,18.0,3.6772557199001312,0.14041007938794792,1.5990711152553558,0.991,,,,,,,,,
44,4400,0.0,-84.36073320658322,0.0,0.0,0.0,-84.36073320658322,0.0,,,,0.991,,,,,,,,,
45,4500,0.0,-471.8704641557467,0.0,0.0,0.0,-471.8704641557467,0.0,3.7329659163951874,0.16491049667820334,1.5971328616142273,0.989875,,,,,,,,,
46,4600,0.0,-3.7422040754473582,0.0,0.0,0.0,-3.7422040754473582,0.0,3.347081020474434,0.1940434775315225,1.5948179364204407,0.98875,,,,,,,,,
47,4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0288686603307724,0.19385526329278946,1.6015679240226746,0.987625,,,,,,,,,
48,4800,210.0,-74.03326162866112,70.0,70.0,70.0,-74.03326162866112,21.0,5.056550681591034,0.01917205797508359,1.5977012515068054,0.9865,,,,,,,,,
49,4900,0.0,-712.7854781322709,0.0,0.0,0.0,-712.7854781322709,0.0,4.665282279253006,0.01326016616076231,1.5957121849060059,0.985375,,,,,,,,,
50,5000,0.0,-221.01693817558774,0.0,0.0,0.0,-221.01693817558774,0.0,1.2841585092246532,0.261642724275589,1.600560039281845,0.98425,3.0,-841.1961420624548,22.5,-149.12525557126364,10.5,-879.9452896190614,0.3,2.25,1.05
51,5100,150.0,-257.246596391612,50.0,50.0,50.0,-257.246596391612,15.0,,,,0.98425,,,,,,,,,
52,5200,30.0,-10.0,10.0,10.0,10.0,-10.0,3.0,5.448811650276184,0.002146979793906212,1.5934091806411743,0.983125,,,,,,,,,
53,5300,0.0,-47.96155684205832,0.0,0.0,0.0,-47.96155684205832,0.0,2.491210423409939,0.20268423855304718,1.584569901227951,0.982,,,,,,,,,
54,5400,0.0,-272.88773499097,0.0,0.0,0.0,-272.88773499097,0.0,1.6338910683989525,0.35875613102689385,1.598465621471405,0.9808749999999999,,,,,,,,,
55,5500,0.0,-27.607337021331187,0.0,0.0,0.0,-27.607337021331187,0.0,4.432722389698029,-0.010216940194368362,1.5886325538158417,0.97975,,,,,,,,,
56,5600,0.0,-202.69863558975396,0.0,0.0,0.0,-202.69863558975396,0.0,1.1984569672495127,0.40966097824275494,1.596770167350769,0.978625,,,,,,,,,
57,5700,0.0,-148.27116484366005,0.0,0.0,0.0,-148.27116484366005,0.0,,,,0.978625,,,,,,,,,
58,5800,0.0,-193.2110137070549,0.0,0.0,0.0,-193.2110137070549,0.0,2.844533696770668,0.321301506832242,1.5744188129901886,0.9775,,,,,,,,,
59,5900,0.0,-243.39331571982117,0.0,0.0,0.0,-243.39331571982117,0.0,3.9566643238067627,-0.005368411540985107,1.5825690031051636,0.976375,,,,,,,,,
60,6000,90.0,-696.373746504685,30.0,30.0,30.0,-696.373746504685,9.0,,,,0.976375,,,,,,,,,
61,6100,0.0,-114.2890847220856,0.0,0.0,0.0,-114.2890847220856,0.0,1.2455647066235542,0.5031780740246177,1.5938033759593964,0.97525,,,,,,,,,
62,6200,0.0,-585.1957265871885,0.0,0.0,0.0,-585.1957265871885,0.0,2.5849607586860657,0.4158714562654495,1.5655529499053955,0.974125,,,,,,,,,
63,6300,30.0,-150.78822841664828,10.0,10.0,10.0,-150.78822841664828,3.0,,,,0.974125,,,,,,,,,
64,6400,150.0,-479.1670333294081,50.0,50.0,50.0,-479.1670333294081,15.0,1.5831135511398315,0.578880075365305,1.5904406011104584,0.973,,,,,,,,,
65,6500,30.0,-28.681764302796736,10.0,10.0,10.0,-28.681764302796736,3.0,1.39688540995121,0.5974188009276986,1.5886403918266296,0.971875,,,,,,,,,
66,6600,0.0,-91.15222894874258,0.0,0.0,0.0,-91.15222894874258,0.0,3.345492959022522,0.04324873723089695,1.5754538774490356,0.97075,,,,,,,,,
67,6700,0.0,-482.8135822005524,0.0,0.0,0.0,-482.8135822005524,0.0,1.45530666410923,0.60022191144526,1.5862675905227661,0.969625,,,,,,,,,
68,6800,90.0,-303.622735147895,30.0,30.0,30.0,-303.622735147895,9.0,4.139312535524368,0.09554549679160118,1.5699837803840637,0.9685,,,,,,,,,
69,6900,0.0,-375.7700223932224,0.0,0.0,0.0,-375.7700223932224,0.0,4.11548188328743,0.13505019433796406,1.565794289112091,0.967375,,,,,,,,,
70,7000,120.0,-64.34604603747376,40.0,40.0,40.0,-64.34604603747376,12.0,2.5569508373737335,0.6119726058095694,1.539547622203827,0.96625,,,,,,,,,
71,7100,30.0,-525.3082857275128,10.0,10.0,10.0,-525.3082857275128,3.0,3.4004900753498077,0.18814881891012192,1.5554280877113342,0.965125,,,,,,,,,
72,7200,0.0,-26.614087230689524,0.0,0.0,0.0,-26.614087230689524,0.0,2.565054275095463,0.6400397643446922,1.527279794216156,0.964,,,,,,,,,
73,7300,0.0,-290.90335488371284,0.0,0.0,0.0,-290.90335488371284,0.0,1.2863800749182701,0.6442517805844545,1.5803048610687256,0.962875,,,,,,,,,
74,7400,240.0,-120.20740958961477,80.0,80.0,80.0,-120.20740958961477,24.0,5.9123318791389465,0.2536925196181983,1.6019054055213928,0.96175,,,,,,,,,
75,7500,0.0,-0.37330466161450193,0.0,0.0,0.0,-0.37330466161450193,0.0,1.738722950220108,0.6180889867246151,1.5763526260852814,0.960625,,,,,,,,,
76,7600,0.0,-382.75083440023934,0.0,0.0,0.0,-382.75083440023934,0.0,1.3727496266365051,0.6240927670150995,1.5736075639724731,0.9595,,,,,,,,,
77,7700,150.0,-50.0,50.0,50.0,50.0,-50.0,15.0,2.48562228679657,0.6466589020565152,1.5145771503448486,0.958375,,,,,,,,,
78,7800,0.0,-401.87449916237694,0.0,0.0,0.0,-401.87449916237694,0.0,5.501530349254608,0.2592299608513713,1.5991829633712769,0.95725,,,,,,,,,
79,7900,0.0,-3.2935912924998334,0.0,0.0,0.0,-3.2935912924998334,0.0,1.3331094160676003,0.6109226779080927,1.568463146686554,0.956125,,,,,,,,,
80,8000,0.0,-275.8293616381673,0.0,0.0,0.0,-275.8293616381673,0.0,5.196891337633133,0.30594867281615734,1.5968516170978546,0.955,,,,,,,,,
81,8100,0.0,-23.645873012424044,0.0,0.0,0.0,-23.645873012424044,0.0,1.283058024942875,0.5987911517731845,1.5649122297763824,0.953875,,,,,,,,,
82,8200,0.0,-17.222237990074472,0.0,0.0,0.0,-17.222237990074472,0.0,1.5950984060764313,0.5895015066489577,1.5621860921382904,0.95275,,,,,,,,,
83,8300,0.0,-138.03113218848486,0.0,0.0,0.0,-138.03113218848486,0.0,3.6938548386096954,0.3483240697532892,1.5352811217308044,0.9516249999999999,,,,,,,,,
